district,tehsil,locale,sex,age_group,total_pop,illiterate,literate_total,literate_formal,literate_non_or_informal,literacy_ratio
MANSEHRA DISTRICT,MANSEHRA TEHSIL,Rural,Female,15  --  19,46243,11821,34422,34331,91,74.44
MANSEHRA DISTRICT,MANSEHRA TEHSIL,Rural,Female,20  --  24,39928,14614,25314,25154,160,63.4
MANSEHRA DISTRICT,MANSEHRA TEHSIL,Rural,Female,25  --  29,35641,16087,19554,19333,221,54.86
MANSEHRA DISTRICT,MANSEHRA TEHSIL,Rural,Female,30  --  34,29825,15820,14005,13809,196,46.96
MANSEHRA DISTRICT,MANSEHRA TEHSIL,Rural,Female,35  --  39,23585,14379,9206,9044,162,39.03
MANSEHRA DISTRICT,MANSEHRA TEHSIL,Rural,Female,40  --  44,19643,13794,5849,5709,140,29.78
MANSEHRA DISTRICT,MANSEHRA TEHSIL,Rural,Female,45  --  49,16870,13368,3502,3348,154,20.76
MANSEHRA DISTRICT,MANSEHRA TEHSIL,Rural,Female,50  --  54,14195,11684,2511,2382,129,17.69
MANSEHRA DISTRICT,MANSEHRA TEHSIL,Rural,Female,55  --  59,8720,7361,1359,1273,86,15.58
MANSEHRA DISTRICT,MANSEHRA TEHSIL,Rural,Female,60  --  64,8914,7880,1034,912,122,11.6
MANSEHRA DISTRICT,MANSEHRA TEHSIL,Rural,Female,65  --  69,6307,5786,521,450,71,8.26
MANSEHRA DISTRICT,MANSEHRA TEHSIL,Rural,Female,70  --  74,4878,4510,368,290,78,7.54
MANSEHRA DISTRICT,MANSEHRA TEHSIL,Rural,Female,75 AND ABOVE,6017,5648,369,281,88,6.13
MANSEHRA DISTRICT,MANSEHRA TEHSIL,Rural,Transgender,10  --  14,,,,,,
MANSEHRA DISTRICT,MANSEHRA TEHSIL,Rural,Transgender,15  --  19,13,4,9,8,1,69.23
MANSEHRA DISTRICT,MANSEHRA TEHSIL,Rural,Transgender,20  --  24,8,6,2,2,,25
MANSEHRA DISTRICT,MANSEHRA TEHSIL,Rural,Transgender,25  --  29,14,8,6,6,,42.86
MANSEHRA DISTRICT,MANSEHRA TEHSIL,Rural,Transgender,30  --  34,12,9,3,3,,25
MANSEHRA DISTRICT,MANSEHRA TEHSIL,Rural,Transgender,35  --  39,6,3,3,3,,50
MANSEHRA DISTRICT,MANSEHRA TEHSIL,Rural,Transgender,40  --  44,6,4,2,1,1,33.33
MANSEHRA DISTRICT,MANSEHRA TEHSIL,Rural,Transgender,45  --  49,5,4,1,1,,20
MANSEHRA DISTRICT,MANSEHRA TEHSIL,Rural,Transgender,50  --  54,3,3,,,,
MANSEHRA DISTRICT,MANSEHRA TEHSIL,Rural,Transgender,55  --  59,3,3,,,,
MANSEHRA DISTRICT,MANSEHRA TEHSIL,Rural,Transgender,60  --  64,2,2,,,,
MANSEHRA DISTRICT,MANSEHRA TEHSIL,Rural,Transgender,65  --  69,4,4,,,,
MANSEHRA DISTRICT,MANSEHRA TEHSIL,Rural,Transgender,70  --  74,4,4,,,,
MANSEHRA DISTRICT,MANSEHRA TEHSIL,Rural,Transgender,75 AND ABOVE,6,6,,,,
MANSEHRA DISTRICT,MANSEHRA TEHSIL,Urban,Male,10  --  14,8682,536,8146,8135,11,93.83
MANSEHRA DISTRICT,MANSEHRA TEHSIL,Urban,Male,15  --  19,8100,504,7596,7586,10,93.78
MANSEHRA DISTRICT,MANSEHRA TEHSIL,Urban,Male,20  --  24,6844,525,6319,6306,13,92.33
MANSEHRA DISTRICT,MANSEHRA TEHSIL,Urban,Male,25  --  29,5529,537,4992,4976,16,90.29000000000001
MANSEHRA DISTRICT,MANSEHRA TEHSIL,Urban,Male,30  --  34,4982,523,4459,4452,7,89.5
MANSEHRA DISTRICT,MANSEHRA TEHSIL,Urban,Male,35  --  39,4204,484,3720,3705,15,88.48999999999999
MANSEHRA DISTRICT,MANSEHRA TEHSIL,Urban,Male,40  --  44,3700,541,3159,3142,17,85.38
MANSEHRA DISTRICT,MANSEHRA TEHSIL,Urban,Male,45  --  49,2960,574,2386,2372,14,80.61
MANSEHRA DISTRICT,MANSEHRA TEHSIL,Urban,Male,50  --  54,2849,652,2197,2176,21,77.11
MANSEHRA DISTRICT,MANSEHRA TEHSIL,Urban,Male,55  --  59,2150,432,1718,1703,15,79.91
MANSEHRA DISTRICT,MANSEHRA TEHSIL,Urban,Male,60  --  64,1838,474,1364,1356,8,74.20999999999999
MANSEHRA DISTRICT,MANSEHRA TEHSIL,Urban,Male,65  --  69,1189,350,839,832,7,70.56
MANSEHRA DISTRICT,MANSEHRA TEHSIL,Urban,Male,70  --  74,783,283,500,488,12,63.86
MANSEHRA DISTRICT,MANSEHRA TEHSIL,Urban,Male,75 AND ABOVE,955,424,531,520,11,55.6
MANSEHRA DISTRICT,MANSEHRA TEHSIL,Urban,Female,10  --  14,8045,668,7377,7373,4,91.7
MANSEHRA DISTRICT,MANSEHRA TEHSIL,Urban,Female,15  --  19,7407,735,6672,6663,9,90.08
MANSEHRA DISTRICT,MANSEHRA TEHSIL,Urban,Female,20  --  24,6943,1028,5915,5900,15,85.19
MANSEHRA DISTRICT,MANSEHRA TEHSIL,Urban,Female,25  --  29,6383,1229,5154,5123,31,80.75
MANSEHRA DISTRICT,MANSEHRA TEHSIL,Urban,Female,30  --  34,5345,1265,4080,4063,17,76.33
MANSEHRA DISTRICT,MANSEHRA TEHSIL,Urban,Female,35  --  39,4472,1252,3220,3191,29,72
MANSEHRA DISTRICT,MANSEHRA TEHSIL,Urban,Female,40  --  44,3635,1354,2281,2254,27,62.75
MANSEHRA DISTRICT,MANSEHRA TEHSIL,Urban,Female,45  --  49,2889,1322,1567,1543,24,54.24
MANSEHRA DISTRICT,MANSEHRA TEHSIL,Urban,Female,50  --  54,2673,1330,1343,1314,29,50.24
MANSEHRA DISTRICT,MANSEHRA TEHSIL,Urban,Female,55  --  59,1727,933,794,786,8,45.98
MANSEHRA DISTRICT,MANSEHRA TEHSIL,Urban,Female,60  --  64,1499,894,605,582,23,40.36
MANSEHRA DISTRICT,MANSEHRA TEHSIL,Urban,Female,65  --  69,921,622,299,284,15,32.46
MANSEHRA DISTRICT,MANSEHRA TEHSIL,Urban,Female,70  --  74,649,509,140,130,10,21.57
MANSEHRA DISTRICT,MANSEHRA TEHSIL,Urban,Female,75 AND ABOVE,960,744,216,193,23,22.5
MANSEHRA DISTRICT,MANSEHRA TEHSIL,Urban,Transgender,10  --  14,,,,,,
MANSEHRA DISTRICT,MANSEHRA TEHSIL,Urban,Transgender,15  --  19,9,3,6,6,,66.67
MANSEHRA DISTRICT,MANSEHRA TEHSIL,Urban,Transgender,20  --  24,36,9,27,26,1,75
MANSEHRA DISTRICT,MANSEHRA TEHSIL,Urban,Transgender,25  --  29,27,8,19,19,,70.37
MANSEHRA DISTRICT,MANSEHRA TEHSIL,Urban,Transgender,30  --  34,13,3,10,9,1,76.92
MANSEHRA DISTRICT,MANSEHRA TEHSIL,Urban,Transgender,35  --  39,12,10,2,2,,16.67
MANSEHRA DISTRICT,MANSEHRA TEHSIL,Urban,Transgender,40  --  44,9,5,4,4,,44.44
MANSEHRA DISTRICT,MANSEHRA TEHSIL,Urban,Transgender,45  --  49,9,9,,,,
MANSEHRA DISTRICT,MANSEHRA TEHSIL,Urban,Transgender,50  --  54,7,5,2,1,1,28.57
MANSEHRA DISTRICT,MANSEHRA TEHSIL,Urban,Transgender,55  --  59,4,4,,,,
MANSEHRA DISTRICT,MANSEHRA TEHSIL,Urban,Transgender,60  --  64,,,,,,
MANSEHRA DISTRICT,MANSEHRA TEHSIL,Urban,Transgender,65  --  69,,,,,,
MANSEHRA DISTRICT,MANSEHRA TEHSIL,Urban,Transgender,70  --  74,2,1,1,1,,50
MANSEHRA DISTRICT,MANSEHRA TEHSIL,Urban,Transgender,75 AND ABOVE,3,1,2,2,,66.67
MANSEHRA DISTRICT,OGHI TEHSIL,Rural,Male,10  --  14,17693,2175,15518,15496,22,87.70999999999999
MANSEHRA DISTRICT,OGHI TEHSIL,Rural,Male,15  --  19,14345,1761,12584,12563,21,87.72
MANSEHRA DISTRICT,OGHI TEHSIL,Rural,Male,20  --  24,9736,1786,7950,7914,36,81.66
MANSEHRA DISTRICT,OGHI TEHSIL,Rural,Male,25  --  29,7620,1882,5738,5702,36,75.3
MANSEHRA DISTRICT,OGHI TEHSIL,Rural,Male,30  --  34,6531,1821,4710,4671,39,72.12
MANSEHRA DISTRICT,OGHI TEHSIL,Rural,Male,35  --  39,5643,1790,3853,3815,38,68.28
MANSEHRA DISTRICT,OGHI TEHSIL,Rural,Male,40  --  44,4845,1795,3050,3019,31,62.95
MANSEHRA DISTRICT,OGHI TEHSIL,Rural,Male,45  --  49,4228,1975,2253,2226,27,53.29
MANSEHRA DISTRICT,OGHI TEHSIL,Rural,Male,50  --  54,4025,2179,1846,1818,28,45.86
MANSEHRA DISTRICT,OGHI TEHSIL,Rural,Male,55  --  59,3014,1605,1409,1380,29,46.75
MANSEHRA DISTRICT,OGHI TEHSIL,Rural,Male,60  --  64,2886,1757,1129,1091,38,39.12
MANSEHRA DISTRICT,OGHI TEHSIL,Rural,Male,65  --  69,2355,1676,679,660,19,28.83
MANSEHRA DISTRICT,OGHI TEHSIL,Rural,Male,70  --  74,1765,1372,393,377,16,22.27
MANSEHRA DISTRICT,OGHI TEHSIL,Rural,Male,75 AND ABOVE,2260,1862,398,378,20,17.61
MANSEHRA DISTRICT,OGHI TEHSIL,Rural,Female,10  --  14,16684,5025,11659,11586,73,69.88
MANSEHRA DISTRICT,OGHI TEHSIL,Rural,Female,15  --  19,15214,6315,8899,8808,91,58.49
MANSEHRA DISTRICT,OGHI TEHSIL,Rural,Female,20  --  24,12442,6711,5731,5593,138,46.06
MANSEHRA DISTRICT,OGHI TEHSIL,Rural,Female,25  --  29,11127,7202,3925,3805,120,35.27
MANSEHRA DISTRICT,OGHI TEHSIL,Rural,Female,30  --  34,9506,6774,2732,2616,116,28.74
MANSEHRA DISTRICT,OGHI TEHSIL,Rural,Female,35  --  39,7672,6092,1580,1472,108,20.59
MANSEHRA DISTRICT,OGHI TEHSIL,Rural,Female,40  --  44,6063,5152,911,820,91,15.03
MANSEHRA DISTRICT,OGHI TEHSIL,Rural,Female,45  --  49,5581,5063,518,460,58,9.279999999999999
MANSEHRA DISTRICT,OGHI TEHSIL,Rural,Female,50  --  54,4396,4076,320,268,52,7.28
MANSEHRA DISTRICT,OGHI TEHSIL,Rural,Female,55  --  59,3114,2912,202,156,46,6.49
MANSEHRA DISTRICT,OGHI TEHSIL,Rural,Female,60  --  64,2905,2748,157,108,49,5.4
MANSEHRA DISTRICT,OGHI TEHSIL,Rural,Female,65  --  69,2304,2220,84,54,30,3.65
MANSEHRA DISTRICT,OGHI TEHSIL,Rural,Female,70  --  74,1659,1602,57,34,23,3.44
MANSEHRA DISTRICT,OGHI TEHSIL,Rural,Female,75 AND ABOVE,2190,2117,73,45,28,3.33
MANSEHRA DISTRICT,OGHI TEHSIL,Rural,Transgender,10  --  14,,,,,,
MANSEHRA DISTRICT,OGHI TEHSIL,Rural,Transgender,15  --  19,3,1,2,2,,66.67
MANSEHRA DISTRICT,OGHI TEHSIL,Rural,Transgender,20  --  24,4,3,1,1,,25
MANSEHRA DISTRICT,OGHI TEHSIL,Rural,Transgender,25  --  29,2,2,,,,
MANSEHRA DISTRICT,OGHI TEHSIL,Rural,Transgender,30  --  34,5,2,3,3,,60
MANSEHRA DISTRICT,OGHI TEHSIL,Rural,Transgender,35  --  39,3,2,1,1,,33.33
MANSEHRA DISTRICT,OGHI TEHSIL,Rural,Transgender,40  --  44,1,1,,,,
MANSEHRA DISTRICT,OGHI TEHSIL,Rural,Transgender,45  --  49,2,1,1,1,,50
MANSEHRA DISTRICT,OGHI TEHSIL,Rural,Transgender,50  --  54,,,,,,
MANSEHRA DISTRICT,OGHI TEHSIL,Rural,Transgender,55  --  59,,,,,,
MANSEHRA DISTRICT,OGHI TEHSIL,Rural,Transgender,60  --  64,1,1,,,,
MANSEHRA DISTRICT,OGHI TEHSIL,Rural,Transgender,65  --  69,1,1,,,,
MANSEHRA DISTRICT,OGHI TEHSIL,Rural,Transgender,70  --  74,,,,,,
MANSEHRA DISTRICT,OGHI TEHSIL,Rural,Transgender,75 AND ABOVE,,,,,,
MANSEHRA DISTRICT,OGHI TEHSIL,Urban,Male,10  --  14,,,,,,
MANSEHRA DISTRICT,OGHI TEHSIL,Urban,Male,15  --  19,,,,,,
MANSEHRA DISTRICT,OGHI TEHSIL,Urban,Male,20  --  24,,,,,,
MANSEHRA DISTRICT,OGHI TEHSIL,Urban,Male,25  --  29,,,,,,
MANSEHRA DISTRICT,OGHI TEHSIL,Urban,Male,30  --  34,,,,,,
MANSEHRA DISTRICT,OGHI TEHSIL,Urban,Male,35  --  39,,,,,,
MANSEHRA DISTRICT,OGHI TEHSIL,Urban,Male,40  --  44,,,,,,
MANSEHRA DISTRICT,OGHI TEHSIL,Urban,Male,45  --  49,,,,,,
MANSEHRA DISTRICT,OGHI TEHSIL,Urban,Male,50  --  54,,,,,,
MANSEHRA DISTRICT,OGHI TEHSIL,Urban,Male,55  --  59,,,,,,
MANSEHRA DISTRICT,OGHI TEHSIL,Urban,Male,60  --  64,,,,,,
MANSEHRA DISTRICT,OGHI TEHSIL,Urban,Male,65  --  69,,,,,,
MANSEHRA DISTRICT,OGHI TEHSIL,Urban,Male,70  --  74,,,,,,
MANSEHRA DISTRICT,OGHI TEHSIL,Urban,Male,75 AND ABOVE,,,,,,
MANSEHRA DISTRICT,OGHI TEHSIL,Urban,Female,10  --  14,,,,,,
MANSEHRA DISTRICT,OGHI TEHSIL,Urban,Female,15  --  19,,,,,,
MANSEHRA DISTRICT,OGHI TEHSIL,Urban,Female,20  --  24,,,,,,
MANSEHRA DISTRICT,OGHI TEHSIL,Urban,Female,25  --  29,,,,,,
MANSEHRA DISTRICT,OGHI TEHSIL,Urban,Female,30  --  34,,,,,,
MANSEHRA DISTRICT,OGHI TEHSIL,Urban,Female,35  --  39,,,,,,
MANSEHRA DISTRICT,OGHI TEHSIL,Urban,Female,40  --  44,,,,,,
MANSEHRA DISTRICT,OGHI TEHSIL,Urban,Female,45  --  49,,,,,,
MANSEHRA DISTRICT,OGHI TEHSIL,Urban,Female,50  --  54,,,,,,
MANSEHRA DISTRICT,OGHI TEHSIL,Urban,Female,55  --  59,,,,,,
MANSEHRA DISTRICT,OGHI TEHSIL,Urban,Female,60  --  64,,,,,,
MANSEHRA DISTRICT,OGHI TEHSIL,Urban,Female,65  --  69,,,,,,
MANSEHRA DISTRICT,OGHI TEHSIL,Urban,Female,70  --  74,,,,,,
MANSEHRA DISTRICT,OGHI TEHSIL,Urban,Female,75 AND ABOVE,,,,,,
MANSEHRA DISTRICT,OGHI TEHSIL,Urban,Transgender,10  --  14,,,,,,
MANSEHRA DISTRICT,OGHI TEHSIL,Urban,Transgender,15  --  19,,,,,,
MANSEHRA DISTRICT,OGHI TEHSIL,Urban,Transgender,20  --  24,,,,,,
MANSEHRA DISTRICT,OGHI TEHSIL,Urban,Transgender,25  --  29,,,,,,
MANSEHRA DISTRICT,OGHI TEHSIL,Urban,Transgender,30  --  34,,,,,,
MANSEHRA DISTRICT,OGHI TEHSIL,Urban,Transgender,35  --  39,,,,,,
MANSEHRA DISTRICT,OGHI TEHSIL,Urban,Transgender,40  --  44,,,,,,
MANSEHRA DISTRICT,OGHI TEHSIL,Urban,Transgender,45  --  49,,,,,,
MANSEHRA DISTRICT,OGHI TEHSIL,Urban,Transgender,50  --  54,,,,,,
MANSEHRA DISTRICT,OGHI TEHSIL,Urban,Transgender,55  --  59,,,,,,
MANSEHRA DISTRICT,OGHI TEHSIL,Urban,Transgender,60  --  64,,,,,,
MANSEHRA DISTRICT,OGHI TEHSIL,Urban,Transgender,65  --  69,,,,,,
MANSEHRA DISTRICT,OGHI TEHSIL,Urban,Transgender,70  --  74,,,,,,
MANSEHRA DISTRICT,OGHI TEHSIL,Urban,Transgender,75 AND ABOVE,,,,,,
TORGHAR DISTRICT,JUDBA TEHSIL,Rural,Male,10  --  14,7159,3460,3699,3654,45,51.67
TORGHAR DISTRICT,JUDBA TEHSIL,Rural,Male,15  --  19,4533,2491,2042,1995,47,45.05
TORGHAR DISTRICT,JUDBA TEHSIL,Rural,Male,20  --  24,3816,2605,1211,1142,69,31.73
TORGHAR DISTRICT,JUDBA TEHSIL,Rural,Male,25  --  29,3188,2264,924,849,75,28.98
TORGHAR DISTRICT,JUDBA TEHSIL,Rural,Male,30  --  34,2524,1878,646,584,62,25.59
TORGHAR DISTRICT,JUDBA TEHSIL,Rural,Male,35  --  39,2204,1717,487,428,59,22.1
TORGHAR DISTRICT,JUDBA TEHSIL,Rural,Male,40  --  44,1850,1523,327,267,60,17.68
TORGHAR DISTRICT,JUDBA TEHSIL,Rural,Male,45  --  49,1430,1226,204,161,43,14.27
TORGHAR DISTRICT,JUDBA TEHSIL,Rural,Male,50  --  54,1181,1057,124,92,32,10.5
TORGHAR DISTRICT,JUDBA TEHSIL,Rural,Male,55  --  59,896,813,83,55,28,9.26
TORGHAR DISTRICT,JUDBA TEHSIL,Rural,Male,60  --  64,857,787,70,45,25,8.17
TORGHAR DISTRICT,JUDBA TEHSIL,Rural,Male,65  --  69,724,670,54,38,16,7.46
TORGHAR DISTRICT,JUDBA TEHSIL,Rural,Male,70  --  74,555,512,43,23,20,7.75
TORGHAR DISTRICT,JUDBA TEHSIL,Rural,Male,75 AND ABOVE,722,669,53,32,21,7.34
TORGHAR DISTRICT,JUDBA TEHSIL,Rural,Female,10  --  14,6158,5024,1134,1011,123,18.42
TORGHAR DISTRICT,JUDBA TEHSIL,Rural,Female,15  --  19,4336,3969,367,290,77,8.460000000000001
TORGHAR DISTRICT,JUDBA TEHSIL,Rural,Female,20  --  24,3781,3588,193,94,99,5.1
TORGHAR DISTRICT,JUDBA TEHSIL,Rural,Female,25  --  29,3570,3418,152,58,94,4.26
TORGHAR DISTRICT,JUDBA TEHSIL,Rural,Female,30  --  34,2879,2790,89,33,56,3.09
TORGHAR DISTRICT,JUDBA TEHSIL,Rural,Female,35  --  39,2322,2260,62,17,45,2.67
TORGHAR DISTRICT,JUDBA TEHSIL,Rural,Female,40  --  44,1853,1804,49,10,39,2.64
TORGHAR DISTRICT,JUDBA TEHSIL,Rural,Female,45  --  49,1505,1469,36,9,27,2.39
TORGHAR DISTRICT,JUDBA TEHSIL,Rural,Female,50  --  54,1112,1085,27,4,23,2.43
TORGHAR DISTRICT,JUDBA TEHSIL,Rural,Female,55  --  59,888,865,23,3,20,2.59
TORGHAR DISTRICT,JUDBA TEHSIL,Rural,Female,60  --  64,816,804,12,1,11,1.47
TORGHAR DISTRICT,JUDBA TEHSIL,Rural,Female,65  --  69,663,649,14,3,11,2.11
TORGHAR DISTRICT,JUDBA TEHSIL,Rural,Female,70  --  74,460,441,19,3,16,4.13
TORGHAR DISTRICT,JUDBA TEHSIL,Rural,Female,75 AND ABOVE,622,609,13,4,9,2.09
TORGHAR DISTRICT,JUDBA TEHSIL,Rural,Transgender,10  --  14,,,,,,
TORGHAR DISTRICT,JUDBA TEHSIL,Rural,Transgender,15  --  19,1,1,,,,
TORGHAR DISTRICT,JUDBA TEHSIL,Rural,Transgender,20  --  24,2,2,,,,
TORGHAR DISTRICT,JUDBA TEHSIL,Rural,Transgender,25  --  29,1,1,,,,
TORGHAR DISTRICT,JUDBA TEHSIL,Rural,Transgender,30  --  34,1,1,,,,
TORGHAR DISTRICT,JUDBA TEHSIL,Rural,Transgender,35  --  39,,,,,,
TORGHAR DISTRICT,JUDBA TEHSIL,Rural,Transgender,40  --  44,,,,,,
TORGHAR DISTRICT,JUDBA TEHSIL,Rural,Transgender,45  --  49,,,,,,
TORGHAR DISTRICT,JUDBA TEHSIL,Rural,Transgender,50  --  54,1,1,,,,
TORGHAR DISTRICT,JUDBA TEHSIL,Rural,Transgender,55  --  59,1,1,,,,
TORGHAR DISTRICT,JUDBA TEHSIL,Rural,Transgender,60  --  64,2,2,,,,
TORGHAR DISTRICT,JUDBA TEHSIL,Rural,Transgender,65  --  69,,,,,,
TORGHAR DISTRICT,JUDBA TEHSIL,Rural,Transgender,70  --  74,,,,,,
TORGHAR DISTRICT,JUDBA TEHSIL,Rural,Transgender,75 AND ABOVE,1,1,,,,
TORGHAR DISTRICT,JUDBA TEHSIL,Urban,Male,10  --  14,,,,,,
TORGHAR DISTRICT,JUDBA TEHSIL,Urban,Male,15  --  19,,,,,,
TORGHAR DISTRICT,JUDBA TEHSIL,Urban,Male,20  --  24,,,,,,
TORGHAR DISTRICT,JUDBA TEHSIL,Urban,Male,25  --  29,,,,,,
TORGHAR DISTRICT,JUDBA TEHSIL,Urban,Male,30  --  34,,,,,,
TORGHAR DISTRICT,JUDBA TEHSIL,Urban,Male,35  --  39,,,,,,
TORGHAR DISTRICT,JUDBA TEHSIL,Urban,Male,40  --  44,,,,,,
TORGHAR DISTRICT,JUDBA TEHSIL,Urban,Male,45  --  49,,,,,,
TORGHAR DISTRICT,JUDBA TEHSIL,Urban,Male,50  --  54,,,,,,
TORGHAR DISTRICT,JUDBA TEHSIL,Urban,Male,55  --  59,,,,,,
TORGHAR DISTRICT,JUDBA TEHSIL,Urban,Male,60  --  64,,,,,,
TORGHAR DISTRICT,JUDBA TEHSIL,Urban,Male,65  --  69,,,,,,
TORGHAR DISTRICT,JUDBA TEHSIL,Urban,Male,70  --  74,,,,,,
TORGHAR DISTRICT,JUDBA TEHSIL,Urban,Male,75 AND ABOVE,,,,,,
TORGHAR DISTRICT,JUDBA TEHSIL,Urban,Female,10  --  14,,,,,,
TORGHAR DISTRICT,JUDBA TEHSIL,Urban,Female,15  --  19,,,,,,
TORGHAR DISTRICT,JUDBA TEHSIL,Urban,Female,20  --  24,,,,,,
TORGHAR DISTRICT,JUDBA TEHSIL,Urban,Female,25  --  29,,,,,,
TORGHAR DISTRICT,JUDBA TEHSIL,Urban,Female,30  --  34,,,,,,
TORGHAR DISTRICT,JUDBA TEHSIL,Urban,Female,35  --  39,,,,,,
TORGHAR DISTRICT,JUDBA TEHSIL,Urban,Female,40  --  44,,,,,,
TORGHAR DISTRICT,JUDBA TEHSIL,Urban,Female,45  --  49,,,,,,
TORGHAR DISTRICT,JUDBA TEHSIL,Urban,Female,50  --  54,,,,,,
TORGHAR DISTRICT,JUDBA TEHSIL,Urban,Female,55  --  59,,,,,,
TORGHAR DISTRICT,JUDBA TEHSIL,Urban,Female,60  --  64,,,,,,
TORGHAR DISTRICT,JUDBA TEHSIL,Urban,Female,65  --  69,,,,,,
TORGHAR DISTRICT,JUDBA TEHSIL,Urban,Female,70  --  74,,,,,,
TORGHAR DISTRICT,JUDBA TEHSIL,Urban,Female,75 AND ABOVE,,,,,,
TORGHAR DISTRICT,JUDBA TEHSIL,Urban,Transgender,10  --  14,,,,,,
TORGHAR DISTRICT,JUDBA TEHSIL,Urban,Transgender,15  --  19,,,,,,
TORGHAR DISTRICT,JUDBA TEHSIL,Urban,Transgender,20  --  24,,,,,,
TORGHAR DISTRICT,JUDBA TEHSIL,Urban,Transgender,25  --  29,,,,,,
TORGHAR DISTRICT,JUDBA TEHSIL,Urban,Transgender,30  --  34,,,,,,
TORGHAR DISTRICT,JUDBA TEHSIL,Urban,Transgender,35  --  39,,,,,,
TORGHAR DISTRICT,JUDBA TEHSIL,Urban,Transgender,40  --  44,,,,,,
TORGHAR DISTRICT,JUDBA TEHSIL,Urban,Transgender,45  --  49,,,,,,
TORGHAR DISTRICT,JUDBA TEHSIL,Urban,Transgender,50  --  54,,,,,,
TORGHAR DISTRICT,JUDBA TEHSIL,Urban,Transgender,55  --  59,,,,,,
TORGHAR DISTRICT,JUDBA TEHSIL,Urban,Transgender,60  --  64,,,,,,
TORGHAR DISTRICT,JUDBA TEHSIL,Urban,Transgender,65  --  69,,,,,,
TORGHAR DISTRICT,JUDBA TEHSIL,Urban,Transgender,70  --  74,,,,,,
TORGHAR DISTRICT,JUDBA TEHSIL,Urban,Transgender,75 AND ABOVE,,,,,,
TORGHAR DISTRICT,KHANDER TEHSIL,Rural,Male,10  --  14,5150,1419,3731,3713,18,72.45
TORGHAR DISTRICT,KHANDER TEHSIL,Rural,Male,15  --  19,3273,941,2332,2292,40,71.25
TORGHAR DISTRICT,KHANDER TEHSIL,Rural,Male,20  --  24,2597,1114,1483,1432,51,57.1
TORGHAR DISTRICT,KHANDER TEHSIL,Rural,Male,25  --  29,2358,1169,1189,1123,66,50.42
TORGHAR DISTRICT,KHANDER TEHSIL,Rural,Male,30  --  34,1845,998,847,799,48,45.91
TORGHAR DISTRICT,KHANDER TEHSIL,Rural,Male,35  --  39,1637,987,650,594,56,39.71
TORGHAR DISTRICT,KHANDER TEHSIL,Rural,Male,40  --  44,1383,916,467,407,60,33.77
TORGHAR DISTRICT,KHANDER TEHSIL,Rural,Male,45  --  49,1130,863,267,225,42,23.63
TORGHAR DISTRICT,KHANDER TEHSIL,Rural,Male,50  --  54,930,727,203,168,35,21.83
TORGHAR DISTRICT,KHANDER TEHSIL,Rural,Male,55  --  59,706,592,114,81,33,16.15
TORGHAR DISTRICT,KHANDER TEHSIL,Rural,Male,60  --  64,682,594,88,71,17,12.9
TORGHAR DISTRICT,KHANDER TEHSIL,Rural,Male,65  --  69,640,580,60,55,5,9.380000000000001
TORGHAR DISTRICT,KHANDER TEHSIL,Rural,Male,70  --  74,524,474,50,40,10,9.539999999999999
TORGHAR DISTRICT,KHANDER TEHSIL,Rural,Male,75 AND ABOVE,609,556,53,38,15,8.699999999999999
TORGHAR DISTRICT,KHANDER TEHSIL,Rural,Female,10  --  14,4828,3030,1798,1776,22,37.24
TORGHAR DISTRICT,KHANDER TEHSIL,Rural,Female,15  --  19,3540,2909,631,618,13,17.82
TORGHAR DISTRICT,KHANDER TEHSIL,Rural,Female,20  --  24,3075,2848,227,212,15,7.38
TORGHAR DISTRICT,KHANDER TEHSIL,Rural,Female,25  --  29,2859,2752,107,93,14,3.74
TORGHAR DISTRICT,KHANDER TEHSIL,Rural,Female,30  --  34,2306,2254,52,43,9,2.25
TORGHAR DISTRICT,KHANDER TEHSIL,Rural,Female,35  --  39,1919,1888,31,18,13,1.62
TORGHAR DISTRICT,KHANDER TEHSIL,Rural,Female,40  --  44,1557,1532,25,18,7,1.61
TORGHAR DISTRICT,KHANDER TEHSIL,Rural,Female,45  --  49,1291,1278,13,9,4,1.01
TORGHAR DISTRICT,KHANDER TEHSIL,Rural,Female,50  --  54,885,879,6,3,3,.68
TORGHAR DISTRICT,KHANDER TEHSIL,Rural,Female,55  --  59,808,801,7,2,5,.87
TORGHAR DISTRICT,KHANDER TEHSIL,Rural,Female,60  --  64,722,714,8,1,7,1.11
TORGHAR DISTRICT,KHANDER TEHSIL,Rural,Female,65  --  69,669,661,8,4,4,1.2
TORGHAR DISTRICT,KHANDER TEHSIL,Rural,Female,70  --  74,437,434,3,2,1,.6899999999999999
TORGHAR DISTRICT,KHANDER TEHSIL,Rural,Female,75 AND ABOVE,577,571,6,4,2,1.04
TORGHAR DISTRICT,KHANDER TEHSIL,Rural,Transgender,10  --  14,,,,,,
TORGHAR DISTRICT,KHANDER TEHSIL,Rural,Transgender,15  --  19,,,,,,
TORGHAR DISTRICT,KHANDER TEHSIL,Rural,Transgender,20  --  24,,,,,,
TORGHAR DISTRICT,KHANDER TEHSIL,Rural,Transgender,25  --  29,1,1,,,,
TORGHAR DISTRICT,KHANDER TEHSIL,Rural,Transgender,30  --  34,,,,,,
TORGHAR DISTRICT,KHANDER TEHSIL,Rural,Transgender,35  --  39,,,,,,
TORGHAR DISTRICT,KHANDER TEHSIL,Rural,Transgender,40  --  44,,,,,,
