district,localities,head,water_type,source,owned,rented,rentfree,total,pct
CHAKWAL DISTRICT,Rural,Source Of Lighting,,Percent,92.84999999999999,3.28,3.86,100,
CHAKWAL DISTRICT,Urban,Source Of Drinking Water,Inside,Tap,6352,1449,301,8102,16.8
CHAKWAL DISTRICT,Urban,Source Of Drinking Water,Inside,Electric/Hand Pump,24583,6271,873,31727,65.77
CHAKWAL DISTRICT,Urban,Source Of Drinking Water,Inside,Protected Well,556,119,48,723,1.5
CHAKWAL DISTRICT,Urban,Source Of Drinking Water,Inside,Un-Protected Well,108,28,16,152,.32
CHAKWAL DISTRICT,Urban,Source Of Drinking Water,Inside,Others,1947,684,280,2911,6.03
CHAKWAL DISTRICT,Urban,Source Of Drinking Water,Outside,Tap,506,166,221,893,1.85
CHAKWAL DISTRICT,Urban,Source Of Drinking Water,Outside,Electric / Hand Pump,1020,309,201,1530,3.17
CHAKWAL DISTRICT,Urban,Source Of Drinking Water,Outside,Protected Well,103,11,17,131,.27
CHAKWAL DISTRICT,Urban,Source Of Drinking Water,Outside,Un-Protected Well,27,3,0,30,.06
CHAKWAL DISTRICT,Urban,Source Of Drinking Water,Outside,Spring,102,6,10,118,.24
CHAKWAL DISTRICT,Urban,Source Of Drinking Water,Outside,Canal / River / Pond,0,0,5,5,.01
CHAKWAL DISTRICT,Urban,Source Of Drinking Water,Outside,Others,1332,464,122,1918,3.98
CHAKWAL DISTRICT,Urban,Cooking Fuel Used,,Wood,8294,1482,814,10590,21.95
CHAKWAL DISTRICT,Urban,Cooking Fuel Used,,Gas,26937,7508,1117,35562,73.72
CHAKWAL DISTRICT,Urban,Cooking Fuel Used,,Kerosene Oil,35,11,2,48,.1
CHAKWAL DISTRICT,Urban,Cooking Fuel Used,,Others,1370,509,161,2040,4.23
CHAKWAL DISTRICT,Urban,Source Of Lighting,,Electricity,35927,9311,1798,47036,97.5
CHAKWAL DISTRICT,Urban,Source Of Lighting,,Kerosene Oil,236,72,56,364,.75
CHAKWAL DISTRICT,Urban,Source Of Lighting,,Gas Lamp,14,2,1,17,.04
CHAKWAL DISTRICT,Urban,Source Of Lighting,,ÓThers,459,125,239,823,1.71
CHAKWAL DISTRICT,Urban,Source Of Lighting,,Total,36636,9510,2094,48240,100
CHAKWAL DISTRICT,Urban,Source Of Lighting,,Percent,75.95,19.71,4.34,100,
CHARSADDA DISTRICT,All,Source Of Drinking Water,Inside,Tap,9243,1227,995,11465,5.27
CHARSADDA DISTRICT,All,Source Of Drinking Water,Inside,Electric/Hand Pump,136275,10060,12471,158806,73.05
CHARSADDA DISTRICT,All,Source Of Drinking Water,Inside,Protected Well,24959,1284,2202,28445,13.08
CHARSADDA DISTRICT,All,Source Of Drinking Water,Inside,Un-Protected Well,3046,211,460,3717,1.71
CHARSADDA DISTRICT,All,Source Of Drinking Water,Inside,Others,3344,722,1268,5334,2.45
CHARSADDA DISTRICT,All,Source Of Drinking Water,Outside,Tap,393,179,90,662,.3
CHARSADDA DISTRICT,All,Source Of Drinking Water,Outside,Electric / Hand Pump,2337,584,977,3898,1.79
CHARSADDA DISTRICT,All,Source Of Drinking Water,Outside,Protected Well,820,90,213,1123,.52
CHARSADDA DISTRICT,All,Source Of Drinking Water,Outside,Un-Protected Well,243,8,54,305,.14
CHARSADDA DISTRICT,All,Source Of Drinking Water,Outside,Spring,19,7,25,51,.02
CHARSADDA DISTRICT,All,Source Of Drinking Water,Outside,Canal / River / Pond,191,28,72,291,.13
CHARSADDA DISTRICT,All,Source Of Drinking Water,Outside,Others,2529,318,460,3307,1.52
CHARSADDA DISTRICT,All,Cooking Fuel Used,,Wood,118791,9469,15954,144214,66.33
CHARSADDA DISTRICT,All,Cooking Fuel Used,,Gas,60652,4423,2448,67523,31.06
CHARSADDA DISTRICT,All,Cooking Fuel Used,,Kerosene Oil,79,11,19,109,.05
CHARSADDA DISTRICT,All,Cooking Fuel Used,,Others,3877,815,866,5558,2.56
CHARSADDA DISTRICT,All,Source Of Lighting,,Electricity,167154,12610,15928,195692,90.01000000000001
CHARSADDA DISTRICT,All,Source Of Lighting,,Kerosene Oil,1308,149,284,1741,.8
CHARSADDA DISTRICT,All,Source Of Lighting,,Gas Lamp,181,28,32,241,.11
CHARSADDA DISTRICT,All,Source Of Lighting,,ÓThers,14756,1931,3043,19730,9.08
CHARSADDA DISTRICT,All,Source Of Lighting,,Total,183399,14718,19287,217404,100
CHARSADDA DISTRICT,All,Source Of Lighting,,Percent,84.36,6.77,8.869999999999999,100,
CHARSADDA DISTRICT,Rural,Source Of Drinking Water,Inside,Tap,6764,590,825,8179,4.54
CHARSADDA DISTRICT,Rural,Source Of Drinking Water,Inside,Electric/Hand Pump,109297,6971,11717,127985,71
CHARSADDA DISTRICT,Rural,Source Of Drinking Water,Inside,Protected Well,24102,1144,2157,27403,15.2
CHARSADDA DISTRICT,Rural,Source Of Drinking Water,Inside,Un-Protected Well,2962,189,454,3605,2
CHARSADDA DISTRICT,Rural,Source Of Drinking Water,Inside,Others,2973,508,1181,4662,2.59
CHARSADDA DISTRICT,Rural,Source Of Drinking Water,Outside,Tap,232,97,74,403,.22
CHARSADDA DISTRICT,Rural,Source Of Drinking Water,Outside,Electric / Hand Pump,2083,409,900,3392,1.88
CHARSADDA DISTRICT,Rural,Source Of Drinking Water,Outside,Protected Well,801,86,209,1096,.61
CHARSADDA DISTRICT,Rural,Source Of Drinking Water,Outside,Un-Protected Well,243,7,54,304,.17
CHARSADDA DISTRICT,Rural,Source Of Drinking Water,Outside,Spring,19,5,25,49,.03
CHARSADDA DISTRICT,Rural,Source Of Drinking Water,Outside,Canal / River / Pond,190,27,72,289,.16
CHARSADDA DISTRICT,Rural,Source Of Drinking Water,Outside,Others,2200,239,445,2884,1.6
CHARSADDA DISTRICT,Rural,Cooking Fuel Used,,Wood,107208,7567,15453,130228,72.25
CHARSADDA DISTRICT,Rural,Cooking Fuel Used,,Gas,41379,2153,1866,45398,25.19
CHARSADDA DISTRICT,Rural,Cooking Fuel Used,,Kerosene Oil,63,6,17,86,.05
CHARSADDA DISTRICT,Rural,Cooking Fuel Used,,Others,3216,546,777,4539,2.52
CHARSADDA DISTRICT,Rural,Source Of Lighting,,Electricity,136391,8414,14824,159629,88.56
CHARSADDA DISTRICT,Rural,Source Of Lighting,,Kerosene Oil,1121,105,278,1504,.83
CHARSADDA DISTRICT,Rural,Source Of Lighting,,Gas Lamp,161,25,30,216,.12
CHARSADDA DISTRICT,Rural,Source Of Lighting,,ÓThers,14193,1728,2981,18902,10.49
CHARSADDA DISTRICT,Rural,Source Of Lighting,,Total,151866,10272,18113,180251,100
CHARSADDA DISTRICT,Rural,Source Of Lighting,,Percent,84.25,5.7,10.05,100,
CHARSADDA DISTRICT,Urban,Source Of Drinking Water,Inside,Tap,2479,637,170,3286,8.84
CHARSADDA DISTRICT,Urban,Source Of Drinking Water,Inside,Electric/Hand Pump,26978,3089,754,30821,82.95999999999999
CHARSADDA DISTRICT,Urban,Source Of Drinking Water,Inside,Protected Well,857,140,45,1042,2.8
CHARSADDA DISTRICT,Urban,Source Of Drinking Water,Inside,Un-Protected Well,84,22,6,112,.3
CHARSADDA DISTRICT,Urban,Source Of Drinking Water,Inside,Others,371,214,87,672,1.81
CHARSADDA DISTRICT,Urban,Source Of Drinking Water,Outside,Tap,161,82,16,259,.7
CHARSADDA DISTRICT,Urban,Source Of Drinking Water,Outside,Electric / Hand Pump,254,175,77,506,1.36
CHARSADDA DISTRICT,Urban,Source Of Drinking Water,Outside,Protected Well,19,4,4,27,.07
CHARSADDA DISTRICT,Urban,Source Of Drinking Water,Outside,Un-Protected Well,,1,,1,0
CHARSADDA DISTRICT,Urban,Source Of Drinking Water,Outside,Spring,,2,,2,.01
CHARSADDA DISTRICT,Urban,Source Of Drinking Water,Outside,Canal / River / Pond,1,1,,2,.01
CHARSADDA DISTRICT,Urban,Source Of Drinking Water,Outside,Others,329,79,15,423,1.14
CHARSADDA DISTRICT,Urban,Cooking Fuel Used,,Wood,11583,1902,501,13986,37.64
CHARSADDA DISTRICT,Urban,Cooking Fuel Used,,Gas,19273,2270,582,22125,59.55
CHARSADDA DISTRICT,Urban,Cooking Fuel Used,,Kerosene Oil,16,5,2,23,.06
CHARSADDA DISTRICT,Urban,Cooking Fuel Used,,Others,661,269,89,1019,2.74
CHARSADDA DISTRICT,Urban,Source Of Lighting,,Electricity,30763,4196,1104,36063,97.06999999999999
CHARSADDA DISTRICT,Urban,Source Of Lighting,,Kerosene Oil,187,44,6,237,.64
CHARSADDA DISTRICT,Urban,Source Of Lighting,,Gas Lamp,20,3,2,25,.07
CHARSADDA DISTRICT,Urban,Source Of Lighting,,ÓThers,563,203,62,828,2.23
CHARSADDA DISTRICT,Urban,Source Of Lighting,,Total,31533,4446,1174,37153,100
CHARSADDA DISTRICT,Urban,Source Of Lighting,,Percent,84.87,11.97,3.16,100,
CHINIOT DISTRICT,All,Source Of Drinking Water,Inside,Tap,32000,1977,4867,38844,17.81
CHINIOT DISTRICT,All,Source Of Drinking Water,Inside,Electric/Hand Pump,139674,8567,12125,160366,73.54000000000001
CHINIOT DISTRICT,All,Source Of Drinking Water,Inside,Protected Well,152,14,36,202,.09
CHINIOT DISTRICT,All,Source Of Drinking Water,Inside,Un-Protected Well,179,20,52,251,.12
CHINIOT DISTRICT,All,Source Of Drinking Water,Inside,Others,4670,541,1580,6791,3.11
CHINIOT DISTRICT,All,Source Of Drinking Water,Outside,Tap,1517,295,359,2171,1
CHINIOT DISTRICT,All,Source Of Drinking Water,Outside,Electric / Hand Pump,3589,245,1166,5000,2.29
CHINIOT DISTRICT,All,Source Of Drinking Water,Outside,Protected Well,13,2,10,25,.01
CHINIOT DISTRICT,All,Source Of Drinking Water,Outside,Un-Protected Well,8,,6,14,.01
CHINIOT DISTRICT,All,Source Of Drinking Water,Outside,Spring,21,2,6,29,.01
CHINIOT DISTRICT,All,Source Of Drinking Water,Outside,Canal / River / Pond,55,1,21,77,.04
CHINIOT DISTRICT,All,Source Of Drinking Water,Outside,Others,3306,341,647,4294,1.97
CHINIOT DISTRICT,All,Cooking Fuel Used,,Wood,141081,4539,17183,162803,74.66
CHINIOT DISTRICT,All,Cooking Fuel Used,,Gas,39518,6828,2818,49164,22.55
CHINIOT DISTRICT,All,Cooking Fuel Used,,Kerosene Oil,186,18,19,223,.1
CHINIOT DISTRICT,All,Cooking Fuel Used,,Others,4399,620,855,5874,2.69
CHINIOT DISTRICT,All,Source Of Lighting,,Electricity,168381,11411,17385,197177,90.42
CHINIOT DISTRICT,All,Source Of Lighting,,Kerosene Oil,8239,305,1616,10160,4.66
CHINIOT DISTRICT,All,Source Of Lighting,,Gas Lamp,81,6,12,99,.05
CHINIOT DISTRICT,All,Source Of Lighting,,ÓThers,8483,283,1862,10628,4.87
CHINIOT DISTRICT,All,Source Of Lighting,,Total,185184,12005,20875,218064,100
CHINIOT DISTRICT,All,Source Of Lighting,,Percent,84.92,5.51,9.57,100,
CHINIOT DISTRICT,Rural,Source Of Drinking Water,Inside,Tap,25593,298,3672,29563,19.69
CHINIOT DISTRICT,Rural,Source Of Drinking Water,Inside,Electric/Hand Pump,96665,1400,9972,108037,71.94
CHINIOT DISTRICT,Rural,Source Of Drinking Water,Inside,Protected Well,112,3,33,148,.1
CHINIOT DISTRICT,Rural,Source Of Drinking Water,Inside,Un-Protected Well,128,3,37,168,.11
CHINIOT DISTRICT,Rural,Source Of Drinking Water,Inside,Others,3681,96,1159,4936,3.29
CHINIOT DISTRICT,Rural,Source Of Drinking Water,Outside,Tap,723,32,206,961,.64
CHINIOT DISTRICT,Rural,Source Of Drinking Water,Outside,Electric / Hand Pump,2972,70,965,4007,2.67
CHINIOT DISTRICT,Rural,Source Of Drinking Water,Outside,Protected Well,10,1,10,21,.01
CHINIOT DISTRICT,Rural,Source Of Drinking Water,Outside,Un-Protected Well,7,,6,13,.01
CHINIOT DISTRICT,Rural,Source Of Drinking Water,Outside,Spring,13,,4,17,.01
CHINIOT DISTRICT,Rural,Source Of Drinking Water,Outside,Canal / River / Pond,54,1,21,76,.05
CHINIOT DISTRICT,Rural,Source Of Drinking Water,Outside,Others,1750,28,453,2231,1.49
CHINIOT DISTRICT,Rural,Cooking Fuel Used,,Wood,123567,1482,15497,140546,93.59
CHINIOT DISTRICT,Rural,Cooking Fuel Used,,Gas,4802,374,359,5535,3.69
CHINIOT DISTRICT,Rural,Cooking Fuel Used,,Kerosene Oil,94,2,17,113,.08
CHINIOT DISTRICT,Rural,Cooking Fuel Used,,Others,3245,74,665,3984,2.65
CHINIOT DISTRICT,Rural,Source Of Lighting,,Electricity,116143,1625,13355,131123,87.31
CHINIOT DISTRICT,Rural,Source Of Lighting,,Kerosene Oil,7732,182,1509,9423,6.27
CHINIOT DISTRICT,Rural,Source Of Lighting,,Gas Lamp,64,4,11,79,.05
CHINIOT DISTRICT,Rural,Source Of Lighting,,ÓThers,7769,121,1663,9553,6.36
CHINIOT DISTRICT,Rural,Source Of Lighting,,Total,131708,1932,16538,150178,100
CHINIOT DISTRICT,Rural,Source Of Lighting,,Percent,87.7,1.29,11.01,100,
CHINIOT DISTRICT,Urban,Source Of Drinking Water,Inside,Tap,6407,1679,1195,9281,13.67
CHINIOT DISTRICT,Urban,Source Of Drinking Water,Inside,Electric/Hand Pump,43009,7167,2153,52329,77.08
CHINIOT DISTRICT,Urban,Source Of Drinking Water,Inside,Protected Well,40,11,3,54,.08
CHINIOT DISTRICT,Urban,Source Of Drinking Water,Inside,Un-Protected Well,51,17,15,83,.12
CHINIOT DISTRICT,Urban,Source Of Drinking Water,Inside,Others,989,445,421,1855,2.73
CHINIOT DISTRICT,Urban,Source Of Drinking Water,Outside,Tap,794,263,153,1210,1.78
CHINIOT DISTRICT,Urban,Source Of Drinking Water,Outside,Electric / Hand Pump,617,175,201,993,1.46
CHINIOT DISTRICT,Urban,Source Of Drinking Water,Outside,Protected Well,3,1,,4,.01
CHINIOT DISTRICT,Urban,Source Of Drinking Water,Outside,Un-Protected Well,1,,,1,0
CHINIOT DISTRICT,Urban,Source Of Drinking Water,Outside,Spring,8,2,2,12,.02
CHINIOT DISTRICT,Urban,Source Of Drinking Water,Outside,Canal / River / Pond,1,,,1,0
CHINIOT DISTRICT,Urban,Source Of Drinking Water,Outside,Others,1556,313,194,2063,3.04
CHINIOT DISTRICT,Urban,Cooking Fuel Used,,Wood,17514,3057,1686,22257,32.79
CHINIOT DISTRICT,Urban,Cooking Fuel Used,,Gas,34716,6454,2459,43629,64.27
CHINIOT DISTRICT,Urban,Cooking Fuel Used,,Kerosene Oil,92,16,2,110,.16
CHINIOT DISTRICT,Urban,Cooking Fuel Used,,Others,1154,546,190,1890,2.78
CHINIOT DISTRICT,Urban,Source Of Lighting,,Electricity,52238,9786,4030,66054,97.3
CHINIOT DISTRICT,Urban,Source Of Lighting,,Kerosene Oil,507,123,107,737,1.09
CHINIOT DISTRICT,Urban,Source Of Lighting,,Gas Lamp,17,2,1,20,.03
CHINIOT DISTRICT,Urban,Source Of Lighting,,ÓThers,714,162,199,1075,1.58
CHINIOT DISTRICT,Urban,Source Of Lighting,,Total,53476,10073,4337,67886,100
CHINIOT DISTRICT,Urban,Source Of Lighting,,Percent,78.77,14.84,6.39,100,
CHITRAL DISTRICT,All,Source Of Drinking Water,Inside,Tap,33473,1707,534,35714,58.66
CHITRAL DISTRICT,All,Source Of Drinking Water,Inside,Electric/Hand Pump,459,41,57,557,.91
CHITRAL DISTRICT,All,Source Of Drinking Water,Inside,Protected Well,452,14,32,498,.82
CHITRAL DISTRICT,All,Source Of Drinking Water,Inside,Un-Protected Well,574,17,36,627,1.03
CHITRAL DISTRICT,All,Source Of Drinking Water,Inside,Others,4457,115,133,4705,7.73
CHITRAL DISTRICT,All,Source Of Drinking Water,Outside,Tap,11107,68,108,11283,18.53
CHITRAL DISTRICT,All,Source Of Drinking Water,Outside,Electric / Hand Pump,69,7,9,85,.14
CHITRAL DISTRICT,All,Source Of Drinking Water,Outside,Protected Well,78,12,6,96,.16
CHITRAL DISTRICT,All,Source Of Drinking Water,Outside,Un-Protected Well,24,7,2,33,.05
CHITRAL DISTRICT,All,Source Of Drinking Water,Outside,Spring,1738,62,62,1862,3.06
CHITRAL DISTRICT,All,Source Of Drinking Water,Outside,Canal / River / Pond,4301,103,263,4667,7.67
CHITRAL DISTRICT,All,Source Of Drinking Water,Outside,Others,678,30,48,756,1.24
CHITRAL DISTRICT,All,Cooking Fuel Used,,Wood,56736,1888,1219,59843,98.29000000000001
CHITRAL DISTRICT,All,Cooking Fuel Used,,Gas,360,275,40,675,1.11
CHITRAL DISTRICT,All,Cooking Fuel Used,,Kerosene Oil,50,3,13,66,.11
CHITRAL DISTRICT,All,Cooking Fuel Used,,Others,264,17,18,299,.49
CHITRAL DISTRICT,All,Source Of Lighting,,Electricity,38729,1926,894,41549,68.23999999999999
CHITRAL DISTRICT,All,Source Of Lighting,,Kerosene Oil,1542,29,49,1620,2.66
CHITRAL DISTRICT,All,Source Of Lighting,,Gas Lamp,133,9,10,152,.25
CHITRAL DISTRICT,All,Source Of Lighting,,ÓThers,17006,219,337,17562,28.85
CHITRAL DISTRICT,All,Source Of Lighting,,Total,57410,2183,1290,60883,100
CHITRAL DISTRICT,All,Source Of Lighting,,Percent,94.3,3.59,2.12,100,
CHITRAL DISTRICT,Rural,Source Of Drinking Water,Inside,Tap,28410,595,463,29468,54.55
CHITRAL DISTRICT,Rural,Source Of Drinking Water,Inside,Electric/Hand Pump,361,35,56,452,.84
CHITRAL DISTRICT,Rural,Source Of Drinking Water,Inside,Protected Well,446,10,32,488,.9
CHITRAL DISTRICT,Rural,Source Of Drinking Water,Inside,Un-Protected Well,547,9,36,592,1.1
CHITRAL DISTRICT,Rural,Source Of Drinking Water,Inside,Others,4327,69,125,4521,8.369999999999999
CHITRAL DISTRICT,Rural,Source Of Drinking Water,Outside,Tap,11017,58,108,11183,20.7
CHITRAL DISTRICT,Rural,Source Of Drinking Water,Outside,Electric / Hand Pump,50,5,9,64,.12
CHITRAL DISTRICT,Rural,Source Of Drinking Water,Outside,Protected Well,72,7,6,85,.16
CHITRAL DISTRICT,Rural,Source Of Drinking Water,Outside,Un-Protected Well,22,7,2,31,.06
CHITRAL DISTRICT,Rural,Source Of Drinking Water,Outside,Spring,1729,60,62,1851,3.43
CHITRAL DISTRICT,Rural,Source Of Drinking Water,Outside,Canal / River / Pond,4230,91,262,4583,8.48
CHITRAL DISTRICT,Rural,Source Of Drinking Water,Outside,Others,634,23,48,705,1.3
CHITRAL DISTRICT,Rural,Cooking Fuel Used,,Wood,51281,885,1155,53321,98.7
CHITRAL DISTRICT,Rural,Cooking Fuel Used,,Gas,255,77,26,358,.66
CHITRAL DISTRICT,Rural,Cooking Fuel Used,,Kerosene Oil,49,2,13,64,.12
CHITRAL DISTRICT,Rural,Cooking Fuel Used,,Others,260,5,15,280,.52
CHITRAL DISTRICT,Rural,Source Of Lighting,,Electricity,33248,734,818,34800,64.42
CHITRAL DISTRICT,Rural,Source Of Lighting,,Kerosene Oil,1532,27,49,1608,2.98
CHITRAL DISTRICT,Rural,Source Of Lighting,,Gas Lamp,132,8,10,150,.28
CHITRAL DISTRICT,Rural,Source Of Lighting,,ÓThers,16933,200,332,17465,32.33
CHITRAL DISTRICT,Rural,Source Of Lighting,,Total,51845,969,1209,54023,100
CHITRAL DISTRICT,Rural,Source Of Lighting,,Percent,95.97,1.79,2.24,100,
CHITRAL DISTRICT,Urban,Source Of Drinking Water,Inside,Tap,5063,1112,71,6246,91.05
CHITRAL DISTRICT,Urban,Source Of Drinking Water,Inside,Electric/Hand Pump,98,6,1,105,1.53
CHITRAL DISTRICT,Urban,Source Of Drinking Water,Inside,Protected Well,6,4,,10,.15
CHITRAL DISTRICT,Urban,Source Of Drinking Water,Inside,Un-Protected Well,27,8,,35,.51
CHITRAL DISTRICT,Urban,Source Of Drinking Water,Inside,Others,130,46,8,184,2.68
CHITRAL DISTRICT,Urban,Source Of Drinking Water,Outside,Tap,90,10,,100,1.46
CHITRAL DISTRICT,Urban,Source Of Drinking Water,Outside,Electric / Hand Pump,19,2,,21,.31
CHITRAL DISTRICT,Urban,Source Of Drinking Water,Outside,Protected Well,6,5,,11,.16
CHITRAL DISTRICT,Urban,Source Of Drinking Water,Outside,Un-Protected Well,2,,,2,.03
CHITRAL DISTRICT,Urban,Source Of Drinking Water,Outside,Spring,9,2,,11,.16
CHITRAL DISTRICT,Urban,Source Of Drinking Water,Outside,Canal / River / Pond,71,12,1,84,1.22
CHITRAL DISTRICT,Urban,Source Of Drinking Water,Outside,Others,44,7,,51,.74
CHITRAL DISTRICT,Urban,Cooking Fuel Used,,Wood,5455,1003,64,6522,95.06999999999999
CHITRAL DISTRICT,Urban,Cooking Fuel Used,,Gas,105,198,14,317,4.62
CHITRAL DISTRICT,Urban,Cooking Fuel Used,,Kerosene Oil,1,1,,2,.03
CHITRAL DISTRICT,Urban,Cooking Fuel Used,,Others,4,12,3,19,.28
CHITRAL DISTRICT,Urban,Source Of Lighting,,Electricity,5481,1192,76,6749,98.38
CHITRAL DISTRICT,Urban,Source Of Lighting,,Kerosene Oil,10,2,,12,.17
CHITRAL DISTRICT,Urban,Source Of Lighting,,Gas Lamp,1,1,,2,.03
CHITRAL DISTRICT,Urban,Source Of Lighting,,ÓThers,73,19,5,97,1.41
CHITRAL DISTRICT,Urban,Source Of Lighting,,Total,5565,1214,81,6860,100
CHITRAL DISTRICT,Urban,Source Of Lighting,,Percent,81.12,17.7,1.18,100,
DADU DISTRICT,All,Source Of Drinking Water,Inside,Tap,100174,4453,1618,106245,37.38
DADU DISTRICT,All,Source Of Drinking Water,Inside,Electric/Hand Pump,85592,5344,1746,92682,32.6
DADU DISTRICT,All,Source Of Drinking Water,Inside,Protected Well,2888,43,20,2951,1.04
DADU DISTRICT,All,Source Of Drinking Water,Inside,Un-Protected Well,6285,48,56,6389,2.25
DADU DISTRICT,All,Source Of Drinking Water,Inside,Others,27670,494,573,28737,10.11
DADU DISTRICT,All,Source Of Drinking Water,Outside,Tap,13953,102,523,14578,5.13
DADU DISTRICT,All,Source Of Drinking Water,Outside,Electric / Hand Pump,10344,96,556,10996,3.87
DADU DISTRICT,All,Source Of Drinking Water,Outside,Protected Well,1890,2,6,1898,.67
DADU DISTRICT,All,Source Of Drinking Water,Outside,Un-Protected Well,4862,8,208,5078,1.79
DADU DISTRICT,All,Source Of Drinking Water,Outside,Spring,394,5,,399,.14
DADU DISTRICT,All,Source Of Drinking Water,Outside,Canal / River / Pond,3057,34,107,3198,1.13
DADU DISTRICT,All,Source Of Drinking Water,Outside,Others,10488,278,346,11112,3.91
DADU DISTRICT,All,Cooking Fuel Used,,Wood,188260,5080,3786,197126,69.34999999999999
DADU DISTRICT,All,Cooking Fuel Used,,Gas,61646,5482,729,67857,23.87
DADU DISTRICT,All,Cooking Fuel Used,,Kerosene Oil,1096,33,44,1173,.41
DADU DISTRICT,All,Cooking Fuel Used,,Others,16595,312,1200,18107,6.37
DADU DISTRICT,All,Source Of Lighting,,Electricity,235361,10082,3667,249110,87.63
DADU DISTRICT,All,Source Of Lighting,,Kerosene Oil,9887,325,569,10781,3.79
DADU DISTRICT,All,Source Of Lighting,,Gas Lamp,547,12,26,585,.21
DADU DISTRICT,All,Source Of Lighting,,ÓThers,21802,488,1497,23787,8.369999999999999
DADU DISTRICT,All,Source Of Lighting,,Total,267597,10907,5759,284263,100
DADU DISTRICT,All,Source Of Lighting,,Percent,94.14,3.84,2.03,100,
DADU DISTRICT,Rural,Source Of Drinking Water,Inside,Tap,78412,1003,1245,80660,37.41
DADU DISTRICT,Rural,Source Of Drinking Water,Inside,Electric/Hand Pump,55424,548,1245,57217,26.54
DADU DISTRICT,Rural,Source Of Drinking Water,Inside,Protected Well,2777,29,16,2822,1.31
DADU DISTRICT,Rural,Source Of Drinking Water,Inside,Un-Protected Well,6113,41,53,6207,2.88
DADU DISTRICT,Rural,Source Of Drinking Water,Inside,Others,23326,91,470,23887,11.08
DADU DISTRICT,Rural,Source Of Drinking Water,Outside,Tap,13492,60,491,14043,6.51
DADU DISTRICT,Rural,Source Of Drinking Water,Outside,Electric / Hand Pump,9592,43,540,10175,4.72
DADU DISTRICT,Rural,Source Of Drinking Water,Outside,Protected Well,1880,2,6,1888,.88
DADU DISTRICT,Rural,Source Of Drinking Water,Outside,Un-Protected Well,4846,8,208,5062,2.35
DADU DISTRICT,Rural,Source Of Drinking Water,Outside,Spring,385,1,,386,.18
DADU DISTRICT,Rural,Source Of Drinking Water,Outside,Canal / River / Pond,3049,32,104,3185,1.48
DADU DISTRICT,Rural,Source Of Drinking Water,Outside,Others,9591,170,323,10084,4.68
DADU DISTRICT,Rural,Cooking Fuel Used,,Wood,169914,1558,3247,174719,81.03
DADU DISTRICT,Rural,Cooking Fuel Used,,Gas,22464,360,257,23081,10.7
DADU DISTRICT,Rural,Cooking Fuel Used,,Kerosene Oil,853,4,38,895,.42
DADU DISTRICT,Rural,Cooking Fuel Used,,Others,15656,106,1159,16921,7.85
DADU DISTRICT,Rural,Source Of Lighting,,Electricity,179925,1728,2781,184434,85.54000000000001
DADU DISTRICT,Rural,Source Of Lighting,,Kerosene Oil,9037,122,531,9690,4.49
DADU DISTRICT,Rural,Source Of Lighting,,Gas Lamp,469,4,20,493,.23
DADU DISTRICT,Rural,Source Of Lighting,,ÓThers,19456,174,1369,20999,9.74
DADU DISTRICT,Rural,Source Of Lighting,,Total,208887,2028,4701,215616,100
DADU DISTRICT,Rural,Source Of Lighting,,Percent,96.88,.9399999999999999,2.18,100,
DADU DISTRICT,Urban,Source Of Drinking Water,Inside,Tap,21762,3450,373,25585,37.27
DADU DISTRICT,Urban,Source Of Drinking Water,Inside,Electric/Hand Pump,30168,4796,501,35465,51.66
DADU DISTRICT,Urban,Source Of Drinking Water,Inside,Protected Well,111,14,4,129,.19
DADU DISTRICT,Urban,Source Of Drinking Water,Inside,Un-Protected Well,172,7,3,182,.27
DADU DISTRICT,Urban,Source Of Drinking Water,Inside,Others,4344,403,103,4850,7.07
DADU DISTRICT,Urban,Source Of Drinking Water,Outside,Tap,461,42,32,535,.78
DADU DISTRICT,Urban,Source Of Drinking Water,Outside,Electric / Hand Pump,752,53,16,821,1.2
DADU DISTRICT,Urban,Source Of Drinking Water,Outside,Protected Well,10,,,10,.01
DADU DISTRICT,Urban,Source Of Drinking Water,Outside,Un-Protected Well,16,,,16,.02
DADU DISTRICT,Urban,Source Of Drinking Water,Outside,Spring,9,4,,13,.02
DADU DISTRICT,Urban,Source Of Drinking Water,Outside,Canal / River / Pond,8,2,3,13,.02
DADU DISTRICT,Urban,Source Of Drinking Water,Outside,Others,897,108,23,1028,1.5
DADU DISTRICT,Urban,Cooking Fuel Used,,Wood,18346,3522,539,22407,32.64
DADU DISTRICT,Urban,Cooking Fuel Used,,Gas,39182,5122,472,44776,65.23
DADU DISTRICT,Urban,Cooking Fuel Used,,Kerosene Oil,243,29,6,278,.4
DADU DISTRICT,Urban,Cooking Fuel Used,,Others,939,206,41,1186,1.73
DADU DISTRICT,Urban,Source Of Lighting,,Electricity,55436,8354,886,64676,94.22
DADU DISTRICT,Urban,Source Of Lighting,,Kerosene Oil,850,203,38,1091,1.59
DADU DISTRICT,Urban,Source Of Lighting,,Gas Lamp,78,8,6,92,.13
DADU DISTRICT,Urban,Source Of Lighting,,ÓThers,2346,314,128,2788,4.06
DADU DISTRICT,Urban,Source Of Lighting,,Total,58710,8879,1058,68647,100
DADU DISTRICT,Urban,Source Of Lighting,,Percent,85.52,12.93,1.54,100,
DERA BUGTI DISTRICT,All,Source Of Drinking Water,Inside,Tap,9906,604,1133,11643,25.51
