district,tehsil,locale,sex,total_pop,urdu,punjabi,sindhi,pushto,balochi,kashmiri,saraiki,hindko,brahvi,others
MUZAFFARGARH DISTRICT,JATOI TEHSIL,OVERALL,TRANSGENDER,46,2,1,,,,,43,,,
MUZAFFARGARH DISTRICT,JATOI TEHSIL,RURAL,ALL SEXES,555795,4271,15353,249,809,281,8,534076,6,398,344
MUZAFFARGARH DISTRICT,JATOI TEHSIL,RURAL,MALE,285241,2203,7954,119,415,150,5,273967,3,244,181
MUZAFFARGARH DISTRICT,JATOI TEHSIL,RURAL,FEMALE,270521,2068,7399,130,394,131,3,260076,3,154,163
MUZAFFARGARH DISTRICT,JATOI TEHSIL,RURAL,TRANSGENDER,33,,,,,,,33,,,
MUZAFFARGARH DISTRICT,JATOI TEHSIL,URBAN,ALL SEXES,159382,14852,1750,37,427,8,1,141928,2,66,311
MUZAFFARGARH DISTRICT,JATOI TEHSIL,URBAN,MALE,81219,7551,889,14,232,4,1,72318,1,45,164
MUZAFFARGARH DISTRICT,JATOI TEHSIL,URBAN,FEMALE,78150,7299,860,23,195,4,,69600,1,21,147
MUZAFFARGARH DISTRICT,JATOI TEHSIL,URBAN,TRANSGENDER,13,2,1,,,,,10,,,
MUZAFFARGARH DISTRICT,KOT ADDU TEHSIL,OVERALL,ALL SEXES,1347501,71426,161243,1162,37356,7818,96,1065249,492,541,2118
MUZAFFARGARH DISTRICT,KOT ADDU TEHSIL,OVERALL,MALE,689962,36595,81892,632,19460,3951,50,545776,253,308,1045
MUZAFFARGARH DISTRICT,KOT ADDU TEHSIL,OVERALL,FEMALE,657460,34825,79343,530,17895,3867,46,519409,239,233,1073
MUZAFFARGARH DISTRICT,KOT ADDU TEHSIL,OVERALL,TRANSGENDER,79,6,8,,1,,,64,,,
MUZAFFARGARH DISTRICT,KOT ADDU TEHSIL,RURAL,ALL SEXES,1093354,26374,113532,948,32004,7416,53,910140,323,485,2079
MUZAFFARGARH DISTRICT,KOT ADDU TEHSIL,RURAL,MALE,560409,13643,57628,525,16679,3738,28,466699,168,271,1030
MUZAFFARGARH DISTRICT,KOT ADDU TEHSIL,RURAL,FEMALE,532894,12728,55902,423,15325,3678,25,443395,155,214,1049
MUZAFFARGARH DISTRICT,KOT ADDU TEHSIL,RURAL,TRANSGENDER,51,3,2,,,,,46,,,
MUZAFFARGARH DISTRICT,KOT ADDU TEHSIL,URBAN,ALL SEXES,254147,45052,47711,214,5352,402,43,155109,169,56,39
MUZAFFARGARH DISTRICT,KOT ADDU TEHSIL,URBAN,MALE,129553,22952,24264,107,2781,213,22,79077,85,37,15
MUZAFFARGARH DISTRICT,KOT ADDU TEHSIL,URBAN,FEMALE,124566,22097,23441,107,2570,189,21,76014,84,19,24
MUZAFFARGARH DISTRICT,KOT ADDU TEHSIL,URBAN,TRANSGENDER,28,3,6,,1,,,18,,,
MUZAFFARGARH DISTRICT,MUZAFFARGARH DISTRICT,OVERALL,ALL SEXES,4328549,195433,245147,2951,46368,11637,199,3819060,837,2326,4591
MUZAFFARGARH DISTRICT,MUZAFFARGARH DISTRICT,OVERALL,MALE,2223085,100243,125562,1567,24274,6063,105,1961105,440,1364,2362
MUZAFFARGARH DISTRICT,MUZAFFARGARH DISTRICT,OVERALL,FEMALE,2105145,95171,119568,1384,22093,5572,94,1857695,397,962,2209
MUZAFFARGARH DISTRICT,MUZAFFARGARH DISTRICT,OVERALL,TRANSGENDER,319,19,17,,1,2,,260,,,20
MUZAFFARGARH DISTRICT,MUZAFFARGARH DISTRICT,RURAL,ALL SEXES,3630138,75877,174501,2395,38420,10952,113,3321891,386,2031,3572
MUZAFFARGARH DISTRICT,MUZAFFARGARH DISTRICT,RURAL,MALE,1864893,39266,89465,1273,20076,5706,58,1705829,201,1180,1839
MUZAFFARGARH DISTRICT,MUZAFFARGARH DISTRICT,RURAL,FEMALE,1765011,36603,85028,1122,18344,5244,55,1615846,185,851,1733
MUZAFFARGARH DISTRICT,MUZAFFARGARH DISTRICT,RURAL,TRANSGENDER,234,8,8,,,2,,216,,,
MUZAFFARGARH DISTRICT,MUZAFFARGARH DISTRICT,URBAN,ALL SEXES,698411,119556,70646,556,7948,685,86,497169,451,295,1019
MUZAFFARGARH DISTRICT,MUZAFFARGARH DISTRICT,URBAN,MALE,358192,60977,36097,294,4198,357,47,255276,239,184,523
MUZAFFARGARH DISTRICT,MUZAFFARGARH DISTRICT,URBAN,FEMALE,340134,58568,34540,262,3749,328,39,241849,212,111,476
MUZAFFARGARH DISTRICT,MUZAFFARGARH DISTRICT,URBAN,TRANSGENDER,85,11,9,,1,,,44,,,20
MUZAFFARGARH DISTRICT,MUZAFFARGARH TEHSIL,OVERALL,ALL SEXES,1625487,83411,53312,1141,6463,1738,82,1477174,310,926,930
MUZAFFARGARH DISTRICT,MUZAFFARGARH TEHSIL,OVERALL,MALE,836782,42921,27901,609,3453,1001,42,759652,164,539,500
MUZAFFARGARH DISTRICT,MUZAFFARGARH TEHSIL,OVERALL,FEMALE,788557,40481,25404,532,3010,737,40,717410,146,387,410
MUZAFFARGARH DISTRICT,MUZAFFARGARH TEHSIL,OVERALL,TRANSGENDER,148,9,7,,,,,112,,,20
MUZAFFARGARH DISTRICT,MUZAFFARGARH TEHSIL,RURAL,ALL SEXES,1385109,35510,35530,863,4531,1502,41,1305690,47,764,631
MUZAFFARGARH DISTRICT,MUZAFFARGARH TEHSIL,RURAL,MALE,711866,18404,18682,451,2400,881,18,670222,22,442,344
MUZAFFARGARH DISTRICT,MUZAFFARGARH TEHSIL,RURAL,FEMALE,673133,17102,16842,412,2131,621,23,635368,25,322,287
MUZAFFARGARH DISTRICT,MUZAFFARGARH TEHSIL,RURAL,TRANSGENDER,110,4,6,,,,,100,,,
MUZAFFARGARH DISTRICT,MUZAFFARGARH TEHSIL,URBAN,ALL SEXES,240378,47901,17782,278,1932,236,41,171484,263,162,299
MUZAFFARGARH DISTRICT,MUZAFFARGARH TEHSIL,URBAN,MALE,124916,24517,9219,158,1053,120,24,89430,142,97,156
MUZAFFARGARH DISTRICT,MUZAFFARGARH TEHSIL,URBAN,FEMALE,115424,23379,8562,120,879,116,17,82042,121,65,123
MUZAFFARGARH DISTRICT,MUZAFFARGARH TEHSIL,URBAN,TRANSGENDER,38,5,1,,,,,12,,,20
MULTAN DISTRICT,JALALPUR PIRWALA TEHSIL,OVERALL,ALL SEXES,554971,17684,11774,178,1145,140,39,520996,28,399,2588
MULTAN DISTRICT,JALALPUR PIRWALA TEHSIL,OVERALL,MALE,281167,9012,5981,89,599,81,23,263812,13,220,1337
MULTAN DISTRICT,JALALPUR PIRWALA TEHSIL,OVERALL,FEMALE,273759,8669,5792,89,546,59,16,257143,15,179,1251
MULTAN DISTRICT,JALALPUR PIRWALA TEHSIL,OVERALL,TRANSGENDER,45,3,1,,,,,41,,,
MULTAN DISTRICT,JALALPUR PIRWALA TEHSIL,RURAL,ALL SEXES,487518,8300,8882,151,977,122,37,466129,17,327,2576
MULTAN DISTRICT,JALALPUR PIRWALA TEHSIL,RURAL,MALE,247132,4316,4501,77,513,71,23,236113,9,177,1332
MULTAN DISTRICT,JALALPUR PIRWALA TEHSIL,RURAL,FEMALE,240350,3981,4380,74,464,51,14,229984,8,150,1244
MULTAN DISTRICT,JALALPUR PIRWALA TEHSIL,RURAL,TRANSGENDER,36,3,1,,,,,32,,,
MULTAN DISTRICT,JALALPUR PIRWALA TEHSIL,URBAN,ALL SEXES,67453,9384,2892,27,168,18,2,54867,11,72,12
MULTAN DISTRICT,JALALPUR PIRWALA TEHSIL,URBAN,MALE,34035,4696,1480,12,86,10,,27699,4,43,5
MULTAN DISTRICT,JALALPUR PIRWALA TEHSIL,URBAN,FEMALE,33409,4688,1412,15,82,8,2,27159,7,29,7
MULTAN DISTRICT,JALALPUR PIRWALA TEHSIL,URBAN,TRANSGENDER,9,,,,,,,9,,,
MULTAN DISTRICT,MULTAN CITY TEHSIL,OVERALL,ALL SEXES,2259115,558179,595588,1345,24484,4936,388,1064944,4308,1236,3707
MULTAN DISTRICT,MULTAN CITY TEHSIL,OVERALL,MALE,1161032,285843,304647,709,12895,2528,194,549428,2197,681,1910
MULTAN DISTRICT,MULTAN CITY TEHSIL,OVERALL,FEMALE,1097834,272290,290886,636,11588,2408,194,515370,2111,555,1796
MULTAN DISTRICT,MULTAN CITY TEHSIL,OVERALL,TRANSGENDER,249,46,55,,1,,,146,,,1
MULTAN DISTRICT,MULTAN CITY TEHSIL,RURAL,ALL SEXES,432114,69101,61277,480,2991,750,60,295832,512,320,791
MULTAN DISTRICT,MULTAN CITY TEHSIL,RURAL,MALE,224005,35608,31568,242,1542,392,30,153759,262,190,412
MULTAN DISTRICT,MULTAN CITY TEHSIL,RURAL,FEMALE,208071,33488,29703,238,1448,358,30,142047,250,130,379
MULTAN DISTRICT,MULTAN CITY TEHSIL,RURAL,TRANSGENDER,38,5,6,,1,,,26,,,
MULTAN DISTRICT,MULTAN CITY TEHSIL,URBAN,ALL SEXES,1827001,489078,534311,865,21493,4186,328,769112,3796,916,2916
MULTAN DISTRICT,MULTAN CITY TEHSIL,URBAN,MALE,937027,250235,273079,467,11353,2136,164,395669,1935,491,1498
MULTAN DISTRICT,MULTAN CITY TEHSIL,URBAN,FEMALE,889763,238802,261183,398,10140,2050,164,373323,1861,425,1417
MULTAN DISTRICT,MULTAN CITY TEHSIL,URBAN,TRANSGENDER,211,41,49,,,,,120,,,1
MULTAN DISTRICT,MULTAN DISTRICT,OVERALL,ALL SEXES,4746166,769087,843437,4638,33208,6434,1108,3057098,5236,2848,23072
MULTAN DISTRICT,MULTAN DISTRICT,OVERALL,MALE,2435195,393385,433877,3133,18112,3464,700,1566291,2759,1569,11905
MULTAN DISTRICT,MULTAN DISTRICT,OVERALL,FEMALE,2310408,375579,409475,1504,15092,2968,408,1490463,2476,1279,11164
MULTAN DISTRICT,MULTAN DISTRICT,OVERALL,TRANSGENDER,563,123,85,1,4,2,,344,1,,3
MULTAN DISTRICT,MULTAN DISTRICT,RURAL,ALL SEXES,2687246,225782,276864,1397,8738,1882,376,2150168,831,1712,19496
MULTAN DISTRICT,MULTAN DISTRICT,RURAL,MALE,1375395,115347,141460,736,4733,1032,199,1100468,425,940,10055
MULTAN DISTRICT,MULTAN DISTRICT,RURAL,FEMALE,1311553,110380,135379,661,4002,848,177,1049490,405,772,9439
MULTAN DISTRICT,MULTAN DISTRICT,RURAL,TRANSGENDER,298,55,25,,3,2,,210,1,,2
MULTAN DISTRICT,MULTAN DISTRICT,URBAN,ALL SEXES,2058920,543305,566573,3241,24470,4552,732,906930,4405,1136,3576
MULTAN DISTRICT,MULTAN DISTRICT,URBAN,MALE,1059800,278038,292417,2397,13379,2432,501,465823,2334,629,1850
MULTAN DISTRICT,MULTAN DISTRICT,URBAN,FEMALE,998855,265199,274096,843,11090,2120,231,440973,2071,507,1725
MULTAN DISTRICT,MULTAN DISTRICT,URBAN,TRANSGENDER,265,68,60,1,1,,,134,,,1
MULTAN DISTRICT,MULTAN SADDAR TEHSIL,OVERALL,ALL SEXES,1323076,113238,215477,2832,6884,1250,493,977543,839,852,3668
MULTAN DISTRICT,MULTAN SADDAR TEHSIL,OVERALL,MALE,684064,58298,112795,2177,4238,795,384,502457,518,475,1927
MULTAN DISTRICT,MULTAN SADDAR TEHSIL,OVERALL,FEMALE,638807,54875,102655,654,2643,453,109,474980,320,377,1741
MULTAN DISTRICT,MULTAN SADDAR TEHSIL,OVERALL,TRANSGENDER,205,65,27,1,3,2,,106,1,,
MULTAN DISTRICT,MULTAN SADDAR TEHSIL,RURAL,ALL SEXES,1238708,98301,190266,501,4269,913,92,940007,254,736,3369
MULTAN DISTRICT,MULTAN SADDAR TEHSIL,RURAL,MALE,636150,50317,97070,269,2406,515,48,483234,131,396,1764
MULTAN DISTRICT,MULTAN SADDAR TEHSIL,RURAL,FEMALE,602391,47942,93180,232,1861,396,44,456669,122,340,1605
MULTAN DISTRICT,MULTAN SADDAR TEHSIL,RURAL,TRANSGENDER,167,42,16,,2,2,,104,1,,
MULTAN DISTRICT,MULTAN SADDAR TEHSIL,URBAN,ALL SEXES,84368,14937,25211,2331,2615,337,401,37536,585,116,299
MULTAN DISTRICT,MULTAN SADDAR TEHSIL,URBAN,MALE,47914,7981,15725,1908,1832,280,336,19223,387,79,163
MULTAN DISTRICT,MULTAN SADDAR TEHSIL,URBAN,FEMALE,36416,6933,9475,422,782,57,65,18311,198,37,136
MULTAN DISTRICT,MULTAN SADDAR TEHSIL,URBAN,TRANSGENDER,38,23,11,1,1,,,2,,,
MULTAN DISTRICT,SHUJABAD TEHSIL,OVERALL,ALL SEXES,609004,79986,20598,283,695,108,188,493615,61,361,13109
MULTAN DISTRICT,SHUJABAD TEHSIL,OVERALL,MALE,308932,40232,10454,158,380,60,99,250594,31,193,6731
MULTAN DISTRICT,SHUJABAD TEHSIL,OVERALL,FEMALE,300008,39745,10142,125,315,48,89,242970,30,168,6376
MULTAN DISTRICT,SHUJABAD TEHSIL,OVERALL,TRANSGENDER,64,9,2,,,,,51,,,2
MULTAN DISTRICT,SHUJABAD TEHSIL,RURAL,ALL SEXES,528906,50080,16439,265,501,97,187,448200,48,329,12760
MULTAN DISTRICT,SHUJABAD TEHSIL,RURAL,MALE,268108,25106,8321,148,272,54,98,227362,23,177,6547
MULTAN DISTRICT,SHUJABAD TEHSIL,RURAL,FEMALE,260741,24969,8116,117,229,43,89,220790,25,152,6211
MULTAN DISTRICT,SHUJABAD TEHSIL,RURAL,TRANSGENDER,57,5,2,,,,,48,,,2
MULTAN DISTRICT,SHUJABAD TEHSIL,URBAN,ALL SEXES,80098,29906,4159,18,194,11,1,45415,13,32,349
MULTAN DISTRICT,SHUJABAD TEHSIL,URBAN,MALE,40824,15126,2133,10,108,6,1,23232,8,16,184
MULTAN DISTRICT,SHUJABAD TEHSIL,URBAN,FEMALE,39267,14776,2026,8,86,5,,22180,5,16,165
MULTAN DISTRICT,SHUJABAD TEHSIL,URBAN,TRANSGENDER,7,4,,,,,,3,,,
KHANEWAL DISTRICT,JAHANIAN TEHSIL,OVERALL,ALL SEXES,343425,26722,169930,80,9913,81,31,131601,436,91,4540
KHANEWAL DISTRICT,JAHANIAN TEHSIL,OVERALL,MALE,172917,13392,85579,41,4842,38,19,66539,215,46,2206
KHANEWAL DISTRICT,JAHANIAN TEHSIL,OVERALL,FEMALE,170487,13328,84340,38,5070,43,12,65057,221,45,2333
KHANEWAL DISTRICT,JAHANIAN TEHSIL,OVERALL,TRANSGENDER,21,2,11,1,1,,,5,,,1
KHANEWAL DISTRICT,JAHANIAN TEHSIL,RURAL,ALL SEXES,299779,21032,138676,49,9114,80,25,126027,416,87,4273
KHANEWAL DISTRICT,JAHANIAN TEHSIL,RURAL,MALE,151053,10532,69982,25,4444,38,17,63684,206,43,2082
KHANEWAL DISTRICT,JAHANIAN TEHSIL,RURAL,FEMALE,148708,10498,68685,24,4669,42,8,62338,210,44,2190
KHANEWAL DISTRICT,JAHANIAN TEHSIL,RURAL,TRANSGENDER,18,2,9,,1,,,5,,,1
KHANEWAL DISTRICT,JAHANIAN TEHSIL,URBAN,ALL SEXES,43646,5690,31254,31,799,1,6,5574,20,4,267
KHANEWAL DISTRICT,JAHANIAN TEHSIL,URBAN,MALE,21864,2860,15597,16,398,,2,2855,9,3,124
KHANEWAL DISTRICT,JAHANIAN TEHSIL,URBAN,FEMALE,21779,2830,15655,14,401,1,4,2719,11,1,143
KHANEWAL DISTRICT,JAHANIAN TEHSIL,URBAN,TRANSGENDER,3,,2,1,,,,,,,
KHANEWAL DISTRICT,KABIRWALA TEHSIL,OVERALL,ALL SEXES,958596,43449,591047,333,3522,245,49,319316,79,229,327
KHANEWAL DISTRICT,KABIRWALA TEHSIL,OVERALL,MALE,489255,21924,300707,250,1863,125,31,163980,49,147,179
KHANEWAL DISTRICT,KABIRWALA TEHSIL,OVERALL,FEMALE,469256,21516,290287,83,1659,120,18,155314,30,81,148
KHANEWAL DISTRICT,KABIRWALA TEHSIL,OVERALL,TRANSGENDER,85,9,53,,,,,22,,1,
KHANEWAL DISTRICT,KABIRWALA TEHSIL,RURAL,ALL SEXES,809002,25682,487333,237,3009,211,25,291974,51,216,264
KHANEWAL DISTRICT,KABIRWALA TEHSIL,RURAL,MALE,413527,13032,248298,176,1582,102,17,149992,36,138,154
KHANEWAL DISTRICT,KABIRWALA TEHSIL,RURAL,FEMALE,395406,12647,238991,61,1427,109,8,141961,15,77,110
KHANEWAL DISTRICT,KABIRWALA TEHSIL,RURAL,TRANSGENDER,69,3,44,,,,,21,,1,
KHANEWAL DISTRICT,KABIRWALA TEHSIL,URBAN,ALL SEXES,149594,17767,103714,96,513,34,24,27342,28,13,63
KHANEWAL DISTRICT,KABIRWALA TEHSIL,URBAN,MALE,75728,8892,52409,74,281,23,14,13988,13,9,25
KHANEWAL DISTRICT,KABIRWALA TEHSIL,URBAN,FEMALE,73850,8869,51296,22,232,11,10,13353,15,4,38
KHANEWAL DISTRICT,KABIRWALA TEHSIL,URBAN,TRANSGENDER,16,6,9,,,,,1,,,
KHANEWAL DISTRICT,KHANEWAL DISTRICT,OVERALL,ALL SEXES,2920233,188936,2143735,805,33908,992,223,541818,1291,523,8002
KHANEWAL DISTRICT,KHANEWAL DISTRICT,OVERALL,MALE,1482668,95847,1087200,512,16890,461,115,276814,674,286,3869
KHANEWAL DISTRICT,KHANEWAL DISTRICT,OVERALL,FEMALE,1437272,93065,1056321,291,17016,531,108,264955,617,236,4132
KHANEWAL DISTRICT,KHANEWAL DISTRICT,OVERALL,TRANSGENDER,293,24,214,2,2,,,49,,1,1
KHANEWAL DISTRICT,KHANEWAL DISTRICT,RURAL,ALL SEXES,2333801,71179,1741175,540,30520,596,171,481496,940,405,6779
KHANEWAL DISTRICT,KHANEWAL DISTRICT,RURAL,MALE,1185319,35965,883538,318,15120,279,89,245989,494,229,3298
KHANEWAL DISTRICT,KHANEWAL DISTRICT,RURAL,FEMALE,1148276,35207,857478,221,15398,317,82,235472,446,175,3480
KHANEWAL DISTRICT,KHANEWAL DISTRICT,RURAL,TRANSGENDER,206,7,159,1,2,,,35,,1,1
KHANEWAL DISTRICT,KHANEWAL DISTRICT,URBAN,ALL SEXES,586432,117757,402560,265,3388,396,52,60322,351,118,1223
KHANEWAL DISTRICT,KHANEWAL DISTRICT,URBAN,MALE,297349,59882,203662,194,1770,182,26,30825,180,57,571
KHANEWAL DISTRICT,KHANEWAL DISTRICT,URBAN,FEMALE,288996,57858,198843,70,1618,214,26,29483,171,61,652
KHANEWAL DISTRICT,KHANEWAL DISTRICT,URBAN,TRANSGENDER,87,17,55,1,,,,14,,,
KHANEWAL DISTRICT,KHANEWAL TEHSIL,OVERALL,ALL SEXES,856257,102695,653538,211,13581,439,33,83710,740,173,1137
KHANEWAL DISTRICT,KHANEWAL TEHSIL,OVERALL,MALE,436109,52472,333022,113,6672,189,14,42608,392,80,547
KHANEWAL DISTRICT,KHANEWAL TEHSIL,OVERALL,FEMALE,420039,50211,320442,97,6908,250,19,41081,348,93,590
KHANEWAL DISTRICT,KHANEWAL TEHSIL,OVERALL,TRANSGENDER,109,12,74,1,1,,,21,,,
KHANEWAL DISTRICT,KHANEWAL TEHSIL,RURAL,ALL SEXES,585160,17119,497689,137,12266,178,15,56990,441,79,246
KHANEWAL DISTRICT,KHANEWAL TEHSIL,RURAL,MALE,297829,8699,253563,63,6010,76,6,29011,235,39,127
KHANEWAL DISTRICT,KHANEWAL TEHSIL,RURAL,FEMALE,287262,8418,244069,73,6255,102,9,27971,206,40,119
KHANEWAL DISTRICT,KHANEWAL TEHSIL,RURAL,TRANSGENDER,69,2,57,1,1,,,8,,,
KHANEWAL DISTRICT,KHANEWAL TEHSIL,URBAN,ALL SEXES,271097,85576,155849,74,1315,261,18,26720,299,94,891
KHANEWAL DISTRICT,KHANEWAL TEHSIL,URBAN,MALE,138280,43773,79459,50,662,113,8,13597,157,41,420
KHANEWAL DISTRICT,KHANEWAL TEHSIL,URBAN,FEMALE,132777,41793,76373,24,653,148,10,13110,142,53,471
KHANEWAL DISTRICT,KHANEWAL TEHSIL,URBAN,TRANSGENDER,40,10,17,,,,,13,,,
KHANEWAL DISTRICT,MIAN CHANNU TEHSIL,OVERALL,ALL SEXES,761955,16070,729220,181,6892,227,110,7191,36,30,1998
KHANEWAL DISTRICT,MIAN CHANNU TEHSIL,OVERALL,MALE,384387,8059,367892,108,3513,109,51,3687,18,13,937
KHANEWAL DISTRICT,MIAN CHANNU TEHSIL,OVERALL,FEMALE,377490,8010,361252,73,3379,118,59,3503,18,17,1061
KHANEWAL DISTRICT,MIAN CHANNU TEHSIL,OVERALL,TRANSGENDER,78,1,76,,,,,1,,,
KHANEWAL DISTRICT,MIAN CHANNU TEHSIL,RURAL,ALL SEXES,639860,7346,617477,117,6131,127,106,6505,32,23,1996
KHANEWAL DISTRICT,MIAN CHANNU TEHSIL,RURAL,MALE,322910,3702,311695,54,3084,63,49,3302,17,9,935
KHANEWAL DISTRICT,MIAN CHANNU TEHSIL,RURAL,FEMALE,316900,3644,305733,63,3047,64,57,3202,15,14,1061
KHANEWAL DISTRICT,MIAN CHANNU TEHSIL,RURAL,TRANSGENDER,50,,49,,,,,1,,,
KHANEWAL DISTRICT,MIAN CHANNU TEHSIL,URBAN,ALL SEXES,122095,8724,111743,64,761,100,4,686,4,7,2
KHANEWAL DISTRICT,MIAN CHANNU TEHSIL,URBAN,MALE,61477,4357,56197,54,429,46,2,385,1,4,2
KHANEWAL DISTRICT,MIAN CHANNU TEHSIL,URBAN,FEMALE,60590,4366,55519,10,332,54,2,301,3,3,
KHANEWAL DISTRICT,MIAN CHANNU TEHSIL,URBAN,TRANSGENDER,28,1,27,,,,,,,,
LODHRAN DISTRICT,DUNYAPUR TEHSIL,OVERALL,ALL SEXES,495217,19323,181264,88,812,192,32,290255,2091,263,897
LODHRAN DISTRICT,DUNYAPUR TEHSIL,OVERALL,MALE,249231,9788,90387,35,417,99,16,146906,1011,143,429
LODHRAN DISTRICT,DUNYAPUR TEHSIL,OVERALL,FEMALE,245944,9531,90858,53,395,93,16,143330,1080,120,468
LODHRAN DISTRICT,DUNYAPUR TEHSIL,OVERALL,TRANSGENDER,42,4,19,,,,,19,,,
LODHRAN DISTRICT,DUNYAPUR TEHSIL,RURAL,ALL SEXES,453663,10489,163045,83,783,188,31,275912,2082,228,822
LODHRAN DISTRICT,DUNYAPUR TEHSIL,RURAL,MALE,228308,5372,81249,33,400,97,16,139609,1008,128,396
LODHRAN DISTRICT,DUNYAPUR TEHSIL,RURAL,FEMALE,225323,5115,81782,50,383,91,15,136287,1074,100,426
LODHRAN DISTRICT,DUNYAPUR TEHSIL,RURAL,TRANSGENDER,32,2,14,,,,,16,,,
LODHRAN DISTRICT,DUNYAPUR TEHSIL,URBAN,ALL SEXES,41554,8834,18219,5,29,4,1,14343,9,35,75
LODHRAN DISTRICT,DUNYAPUR TEHSIL,URBAN,MALE,20923,4416,9138,2,17,2,,7297,3,15,33
LODHRAN DISTRICT,DUNYAPUR TEHSIL,URBAN,FEMALE,20621,4416,9076,3,12,2,1,7043,6,20,42
LODHRAN DISTRICT,DUNYAPUR TEHSIL,URBAN,TRANSGENDER,10,2,5,,,,,3,,,
LODHRAN DISTRICT,KAHROR PACCA TEHSIL,OVERALL,ALL SEXES,500963,66055,24014,103,436,46,23,405825,26,193,4242
LODHRAN DISTRICT,KAHROR PACCA TEHSIL,OVERALL,MALE,255569,33662,12174,54,241,22,15,207070,17,113,2201
LODHRAN DISTRICT,KAHROR PACCA TEHSIL,OVERALL,FEMALE,245353,32387,11839,49,195,24,8,198721,9,80,2041
LODHRAN DISTRICT,KAHROR PACCA TEHSIL,OVERALL,TRANSGENDER,41,6,1,,,,,34,,,
LODHRAN DISTRICT,KAHROR PACCA TEHSIL,RURAL,ALL SEXES,394678,36702,21400,90,202,23,20,331932,24,146,4139
LODHRAN DISTRICT,KAHROR PACCA TEHSIL,RURAL,MALE,201333,18674,10842,50,100,11,13,169394,16,86,2147
LODHRAN DISTRICT,KAHROR PACCA TEHSIL,RURAL,FEMALE,193317,18022,10557,40,102,12,7,162517,8,60,1992
LODHRAN DISTRICT,KAHROR PACCA TEHSIL,RURAL,TRANSGENDER,28,6,1,,,,,21,,,
LODHRAN DISTRICT,KAHROR PACCA TEHSIL,URBAN,ALL SEXES,106285,29353,2614,13,234,23,3,73893,2,47,103
LODHRAN DISTRICT,KAHROR PACCA TEHSIL,URBAN,MALE,54236,14988,1332,4,141,11,2,37676,1,27,54
LODHRAN DISTRICT,KAHROR PACCA TEHSIL,URBAN,FEMALE,52036,14365,1282,9,93,12,1,36204,1,20,49
LODHRAN DISTRICT,KAHROR PACCA TEHSIL,URBAN,TRANSGENDER,13,,,,,,,13,,,
LODHRAN DISTRICT,LODHRAN DISTRICT,OVERALL,ALL SEXES,1699693,153433,265932,350,4110,499,110,1261752,3508,862,9137
LODHRAN DISTRICT,LODHRAN DISTRICT,OVERALL,MALE,861394,77765,132982,178,2187,263,57,641158,1725,469,4610
LODHRAN DISTRICT,LODHRAN DISTRICT,OVERALL,FEMALE,838156,75646,132929,172,1923,236,53,620494,1783,393,4527
LODHRAN DISTRICT,LODHRAN DISTRICT,OVERALL,TRANSGENDER,143,22,21,,,,,100,,,
LODHRAN DISTRICT,LODHRAN DISTRICT,RURAL,ALL SEXES,1434092,90505,232968,301,3208,431,94,1093628,3420,726,8811
LODHRAN DISTRICT,LODHRAN DISTRICT,RURAL,MALE,726987,45862,116527,158,1683,231,49,555932,1686,401,4458
LODHRAN DISTRICT,LODHRAN DISTRICT,RURAL,FEMALE,707003,44627,116425,143,1525,200,45,537626,1734,325,4353
LODHRAN DISTRICT,LODHRAN DISTRICT,RURAL,TRANSGENDER,102,16,16,,,,,70,,,
LODHRAN DISTRICT,LODHRAN DISTRICT,URBAN,ALL SEXES,265601,62928,32964,49,902,68,16,168124,88,136,326
LODHRAN DISTRICT,LODHRAN DISTRICT,URBAN,MALE,134407,31903,16455,20,504,32,8,85226,39,68,152
LODHRAN DISTRICT,LODHRAN DISTRICT,URBAN,FEMALE,131153,31019,16504,29,398,36,8,82868,49,68,174
LODHRAN DISTRICT,LODHRAN DISTRICT,URBAN,TRANSGENDER,41,6,5,,,,,30,,,
LODHRAN DISTRICT,LODHRAN TEHSIL,OVERALL,ALL SEXES,703513,68055,60654,159,2862,261,55,565672,1391,406,3998
LODHRAN DISTRICT,LODHRAN TEHSIL,OVERALL,MALE,356594,34315,30421,89,1529,142,26,287182,697,213,1980
LODHRAN DISTRICT,LODHRAN TEHSIL,OVERALL,FEMALE,346859,33728,30232,70,1333,119,29,278443,694,193,2018
LODHRAN DISTRICT,LODHRAN TEHSIL,OVERALL,TRANSGENDER,60,12,1,,,,,47,,,
LODHRAN DISTRICT,LODHRAN TEHSIL,RURAL,ALL SEXES,585751,43314,48523,128,2223,220,43,485784,1314,352,3850
LODHRAN DISTRICT,LODHRAN TEHSIL,RURAL,MALE,297346,21816,24436,75,1183,123,20,246929,662,187,1915
LODHRAN DISTRICT,LODHRAN TEHSIL,RURAL,FEMALE,288363,21490,24086,53,1040,97,23,238822,652,165,1935
LODHRAN DISTRICT,LODHRAN TEHSIL,RURAL,TRANSGENDER,42,8,1,,,,,33,,,
LODHRAN DISTRICT,LODHRAN TEHSIL,URBAN,ALL SEXES,117762,24741,12131,31,639,41,12,79888,77,54,148
LODHRAN DISTRICT,LODHRAN TEHSIL,URBAN,MALE,59248,12499,5985,14,346,19,6,40253,35,26,65
LODHRAN DISTRICT,LODHRAN TEHSIL,URBAN,FEMALE,58496,12238,6146,17,293,22,6,39621,42,28,83
