district,localities,hhsize,avg_rooms_per_house
FR BANNU,RURAL,7 PERSONS,3.43
FR BANNU,RURAL,8 PERSONS,3.58
FR BANNU,RURAL,9 PERSONS,3.89
FR BANNU,RURAL,10 PERSONS AND ABOVE,4.84
FR BANNU,URBAN,1 PERSON,
FR BANNU,URBAN,2 PERSONS,
FR BANNU,URBAN,3 PERSONS,
FR BANNU,URBAN,4 PERSONS,
FR BANNU,URBAN,5 PERSONS,
FR BANNU,URBAN,6 PERSONS,
FR BANNU,URBAN,7 PERSONS,
FR BANNU,URBAN,8 PERSONS,
FR BANNU,URBAN,9 PERSONS,
FR BANNU,URBAN,10 PERSONS AND ABOVE,
FR D.I KHAN,RURAL,1 PERSON,1.94
FR D.I KHAN,RURAL,2 PERSONS,2.12
FR D.I KHAN,RURAL,3 PERSONS,2.31
FR D.I KHAN,RURAL,4 PERSONS,2.66
FR D.I KHAN,RURAL,5 PERSONS,2.76
FR D.I KHAN,RURAL,6 PERSONS,2.96
FR D.I KHAN,RURAL,7 PERSONS,3.22
FR D.I KHAN,RURAL,8 PERSONS,4.31
FR D.I KHAN,RURAL,9 PERSONS,3.30547
FR D.I KHAN,RURAL,10 PERSONS AND ABOVE,
FR D.I KHAN,URBAN,1 PERSON,
FR D.I KHAN,URBAN,2 PERSONS,
FR D.I KHAN,URBAN,3 PERSONS,
FR D.I KHAN,URBAN,4 PERSONS,
FR D.I KHAN,URBAN,5 PERSONS,
FR D.I KHAN,URBAN,6 PERSONS,
FR D.I KHAN,URBAN,7 PERSONS,
FR D.I KHAN,URBAN,8 PERSONS,
FR D.I KHAN,URBAN,9 PERSONS,
FR D.I KHAN,URBAN,10 PERSONS AND ABOVE,
FR KOHAT,RURAL,1 PERSON,1.66
FR KOHAT,RURAL,2 PERSONS,1.87
FR KOHAT,RURAL,3 PERSONS,2.08
FR KOHAT,RURAL,4 PERSONS,2.29
FR KOHAT,RURAL,5 PERSONS,2.56
FR KOHAT,RURAL,6 PERSONS,2.7
FR KOHAT,RURAL,7 PERSONS,3.05
FR KOHAT,RURAL,8 PERSONS,4.32
FR KOHAT,RURAL,9 PERSONS,2.83
FR KOHAT,RURAL,10 PERSONS AND ABOVE,
FR KOHAT,URBAN,1 PERSON,
FR KOHAT,URBAN,2 PERSONS,
FR KOHAT,URBAN,3 PERSONS,
FR KOHAT,URBAN,4 PERSONS,
FR KOHAT,URBAN,5 PERSONS,
FR KOHAT,URBAN,6 PERSONS,
FR KOHAT,URBAN,7 PERSONS,
FR KOHAT,URBAN,8 PERSONS,
FR KOHAT,URBAN,9 PERSONS,
FR KOHAT,URBAN,10 PERSONS AND ABOVE,
FR LAKKI MARWAT,RURAL,1 PERSON,1.96
FR LAKKI MARWAT,RURAL,2 PERSONS,2.24
FR LAKKI MARWAT,RURAL,3 PERSONS,2.49
FR LAKKI MARWAT,RURAL,4 PERSONS,2.75
FR LAKKI MARWAT,RURAL,5 PERSONS,3.02
FR LAKKI MARWAT,RURAL,6 PERSONS,3.33
FR LAKKI MARWAT,RURAL,7 PERSONS,3.51
FR LAKKI MARWAT,RURAL,8 PERSONS,3.77
FR LAKKI MARWAT,RURAL,9 PERSONS,4.18
FR LAKKI MARWAT,RURAL,10 PERSONS AND ABOVE,5.24
FR LAKKI MARWAT,URBAN,1 PERSON,
FR LAKKI MARWAT,URBAN,2 PERSONS,
FR LAKKI MARWAT,URBAN,3 PERSONS,
FR LAKKI MARWAT,URBAN,4 PERSONS,
FR LAKKI MARWAT,URBAN,5 PERSONS,
FR LAKKI MARWAT,URBAN,6 PERSONS,
FR LAKKI MARWAT,URBAN,7 PERSONS,
FR LAKKI MARWAT,URBAN,8 PERSONS,
FR LAKKI MARWAT,URBAN,9 PERSONS,
FR LAKKI MARWAT,URBAN,10 PERSONS AND ABOVE,
FR PESHAWAR,RURAL,1 PERSON,2.09
FR PESHAWAR,RURAL,2 PERSONS,2.34
FR PESHAWAR,RURAL,3 PERSONS,2.48
FR PESHAWAR,RURAL,4 PERSONS,2.52
FR PESHAWAR,RURAL,5 PERSONS,2.59
FR PESHAWAR,RURAL,6 PERSONS,2.82
FR PESHAWAR,RURAL,7 PERSONS,2.94
FR PESHAWAR,RURAL,8 PERSONS,3.13
FR PESHAWAR,RURAL,9 PERSONS,3.18
FR PESHAWAR,RURAL,10 PERSONS AND ABOVE,4.39
FR PESHAWAR,URBAN,1 PERSON,
FR PESHAWAR,URBAN,2 PERSONS,
FR PESHAWAR,URBAN,3 PERSONS,
FR PESHAWAR,URBAN,4 PERSONS,
FR PESHAWAR,URBAN,5 PERSONS,
FR PESHAWAR,URBAN,6 PERSONS,
FR PESHAWAR,URBAN,7 PERSONS,
FR PESHAWAR,URBAN,8 PERSONS,
FR PESHAWAR,URBAN,9 PERSONS,
FR PESHAWAR,URBAN,10 PERSONS AND ABOVE,
FR TANK,RURAL,1 PERSON,1.64
FR TANK,RURAL,2 PERSONS,1.64
FR TANK,RURAL,3 PERSONS,1.67
FR TANK,RURAL,4 PERSONS,1.95
FR TANK,RURAL,5 PERSONS,1.98
FR TANK,RURAL,6 PERSONS,2.18
FR TANK,RURAL,7 PERSONS,2.41
FR TANK,RURAL,8 PERSONS,2.57
FR TANK,RURAL,9 PERSONS,2.9
FR TANK,RURAL,10 PERSONS AND ABOVE,3.83
FR TANK,URBAN,1 PERSON,
FR TANK,URBAN,2 PERSONS,
FR TANK,URBAN,3 PERSONS,
FR TANK,URBAN,4 PERSONS,
FR TANK,URBAN,5 PERSONS,
FR TANK,URBAN,6 PERSONS,
FR TANK,URBAN,7 PERSONS,
FR TANK,URBAN,8 PERSONS,
FR TANK,URBAN,9 PERSONS,
FR TANK,URBAN,10 PERSONS AND ABOVE,
GHOTKI DISTRICT,RURAL,1 PERSON,1.12
GHOTKI DISTRICT,RURAL,2 PERSONS,1.13
GHOTKI DISTRICT,RURAL,3 PERSONS,1.16
GHOTKI DISTRICT,RURAL,4 PERSONS,1.19
GHOTKI DISTRICT,RURAL,5 PERSONS,1.25
GHOTKI DISTRICT,RURAL,6 PERSONS,1.3
GHOTKI DISTRICT,RURAL,7 PERSONS,1.34
GHOTKI DISTRICT,RURAL,8 PERSONS,1.39
GHOTKI DISTRICT,RURAL,9 PERSONS,1.47
GHOTKI DISTRICT,RURAL,10 PERSONS AND ABOVE,1.78
GHOTKI DISTRICT,URBAN,1 PERSON,1.46
GHOTKI DISTRICT,URBAN,2 PERSONS,1.44
GHOTKI DISTRICT,URBAN,3 PERSONS,1.54
GHOTKI DISTRICT,URBAN,4 PERSONS,1.63
GHOTKI DISTRICT,URBAN,5 PERSONS,1.76
GHOTKI DISTRICT,URBAN,6 PERSONS,1.84
GHOTKI DISTRICT,URBAN,7 PERSONS,1.84
GHOTKI DISTRICT,URBAN,8 PERSONS,1.91
GHOTKI DISTRICT,URBAN,9 PERSONS,2
GHOTKI DISTRICT,URBAN,10 PERSONS AND ABOVE,2.34
GUJRANWALA DISTRICT,RURAL,1 PERSON,2.17
GUJRANWALA DISTRICT,RURAL,2 PERSONS,2.27
GUJRANWALA DISTRICT,RURAL,3 PERSONS,2.4
GUJRANWALA DISTRICT,RURAL,4 PERSONS,2.55
GUJRANWALA DISTRICT,RURAL,5 PERSONS,2.65
GUJRANWALA DISTRICT,RURAL,6 PERSONS,2.73
GUJRANWALA DISTRICT,RURAL,7 PERSONS,2.84
GUJRANWALA DISTRICT,RURAL,8 PERSONS,3.01
GUJRANWALA DISTRICT,RURAL,9 PERSONS,3.22
GUJRANWALA DISTRICT,RURAL,10 PERSONS AND ABOVE,4.02
GUJRANWALA DISTRICT,URBAN,1 PERSON,2.27
GUJRANWALA DISTRICT,URBAN,2 PERSONS,2.37
GUJRANWALA DISTRICT,URBAN,3 PERSONS,2.5
GUJRANWALA DISTRICT,URBAN,4 PERSONS,2.64
GUJRANWALA DISTRICT,URBAN,5 PERSONS,2.76
GUJRANWALA DISTRICT,URBAN,6 PERSONS,2.85
GUJRANWALA DISTRICT,URBAN,7 PERSONS,2.99
GUJRANWALA DISTRICT,URBAN,8 PERSONS,3.12
GUJRANWALA DISTRICT,URBAN,9 PERSONS,3.35
GUJRANWALA DISTRICT,URBAN,10 PERSONS AND ABOVE,4.12
GUJRAT DISTRICT,RURAL,1 PERSON,2.86
GUJRAT DISTRICT,RURAL,2 PERSONS,2.79
GUJRAT DISTRICT,RURAL,3 PERSONS,2.83
GUJRAT DISTRICT,RURAL,4 PERSONS,2.91
GUJRAT DISTRICT,RURAL,5 PERSONS,2.98
GUJRAT DISTRICT,RURAL,6 PERSONS,3.07
GUJRAT DISTRICT,RURAL,7 PERSONS,3.19
GUJRAT DISTRICT,RURAL,8 PERSONS,3.37
GUJRAT DISTRICT,RURAL,9 PERSONS,3.57
GUJRAT DISTRICT,RURAL,10 PERSONS AND ABOVE,4.29
GUJRAT DISTRICT,URBAN,1 PERSON,2.72
GUJRAT DISTRICT,URBAN,2 PERSONS,2.78
GUJRAT DISTRICT,URBAN,3 PERSONS,2.86
GUJRAT DISTRICT,URBAN,4 PERSONS,2.9
GUJRAT DISTRICT,URBAN,5 PERSONS,3.03
GUJRAT DISTRICT,URBAN,6 PERSONS,3.12
GUJRAT DISTRICT,URBAN,7 PERSONS,3.25
GUJRAT DISTRICT,URBAN,8 PERSONS,3.44
GUJRAT DISTRICT,URBAN,9 PERSONS,3.63
GUJRAT DISTRICT,URBAN,10 PERSONS AND ABOVE,4.27
GWADAR DISTRICT,RURAL,1 PERSON,1.06
GWADAR DISTRICT,RURAL,2 PERSONS,1.17
GWADAR DISTRICT,RURAL,3 PERSONS,1.27
GWADAR DISTRICT,RURAL,4 PERSONS,1.31
GWADAR DISTRICT,RURAL,5 PERSONS,1.43
GWADAR DISTRICT,RURAL,6 PERSONS,1.56
GWADAR DISTRICT,RURAL,7 PERSONS,1.66
GWADAR DISTRICT,RURAL,8 PERSONS,1.85
GWADAR DISTRICT,RURAL,9 PERSONS,2.05
GWADAR DISTRICT,RURAL,10 PERSONS AND ABOVE,2.67
GWADAR DISTRICT,URBAN,1 PERSON,1.71
GWADAR DISTRICT,URBAN,2 PERSONS,1.58
GWADAR DISTRICT,URBAN,3 PERSONS,1.77
GWADAR DISTRICT,URBAN,4 PERSONS,1.91
GWADAR DISTRICT,URBAN,5 PERSONS,1.98
GWADAR DISTRICT,URBAN,6 PERSONS,2.1
GWADAR DISTRICT,URBAN,7 PERSONS,2.26
GWADAR DISTRICT,URBAN,8 PERSONS,2.43
GWADAR DISTRICT,URBAN,9 PERSONS,2.64
GWADAR DISTRICT,URBAN,10 PERSONS AND ABOVE,3.45
HAFIZABAD DISTRICT,RURAL,1 PERSON,1.98
HAFIZABAD DISTRICT,RURAL,2 PERSONS,2.02
HAFIZABAD DISTRICT,RURAL,3 PERSONS,2.19
HAFIZABAD DISTRICT,RURAL,4 PERSONS,2.35
HAFIZABAD DISTRICT,RURAL,5 PERSONS,2.47
HAFIZABAD DISTRICT,RURAL,6 PERSONS,2.56
HAFIZABAD DISTRICT,RURAL,7 PERSONS,2.68
HAFIZABAD DISTRICT,RURAL,8 PERSONS,2.85
HAFIZABAD DISTRICT,RURAL,9 PERSONS,3.06
HAFIZABAD DISTRICT,RURAL,10 PERSONS AND ABOVE,3.81
HAFIZABAD DISTRICT,URBAN,1 PERSON,2.38
HAFIZABAD DISTRICT,URBAN,2 PERSONS,2.29
HAFIZABAD DISTRICT,URBAN,3 PERSONS,2.41
HAFIZABAD DISTRICT,URBAN,4 PERSONS,2.54
HAFIZABAD DISTRICT,URBAN,5 PERSONS,2.66
HAFIZABAD DISTRICT,URBAN,6 PERSONS,2.76
HAFIZABAD DISTRICT,URBAN,7 PERSONS,2.85
HAFIZABAD DISTRICT,URBAN,8 PERSONS,2.99
HAFIZABAD DISTRICT,URBAN,9 PERSONS,3.2
HAFIZABAD DISTRICT,URBAN,10 PERSONS AND ABOVE,3.96
HANGU DISTRICT,RURAL,1 PERSON,2.35
HANGU DISTRICT,RURAL,2 PERSONS,2.1
HANGU DISTRICT,RURAL,3 PERSONS,2.26
HANGU DISTRICT,RURAL,4 PERSONS,2.4
HANGU DISTRICT,RURAL,5 PERSONS,2.53
HANGU DISTRICT,RURAL,6 PERSONS,2.76
HANGU DISTRICT,RURAL,7 PERSONS,2.96
HANGU DISTRICT,RURAL,8 PERSONS,3.14
HANGU DISTRICT,RURAL,9 PERSONS,3.39
HANGU DISTRICT,RURAL,10 PERSONS AND ABOVE,4.73
HANGU DISTRICT,URBAN,1 PERSON,2.08
HANGU DISTRICT,URBAN,2 PERSONS,2.33
HANGU DISTRICT,URBAN,3 PERSONS,2.43
HANGU DISTRICT,URBAN,4 PERSONS,2.54
HANGU DISTRICT,URBAN,5 PERSONS,2.61
HANGU DISTRICT,URBAN,6 PERSONS,2.82
HANGU DISTRICT,URBAN,7 PERSONS,2.93
HANGU DISTRICT,URBAN,8 PERSONS,3.15
HANGU DISTRICT,URBAN,9 PERSONS,3.38
HANGU DISTRICT,URBAN,10 PERSONS AND ABOVE,4.61
HARIPUR DISTRICT,RURAL,1 PERSON,1.92
HARIPUR DISTRICT,RURAL,2 PERSONS,2.06
HARIPUR DISTRICT,RURAL,3 PERSONS,2.24
HARIPUR DISTRICT,RURAL,4 PERSONS,2.4
HARIPUR DISTRICT,RURAL,5 PERSONS,2.56
HARIPUR DISTRICT,RURAL,6 PERSONS,2.72
HARIPUR DISTRICT,RURAL,7 PERSONS,2.89
HARIPUR DISTRICT,RURAL,8 PERSONS,3.11
HARIPUR DISTRICT,RURAL,9 PERSONS,3.38
HARIPUR DISTRICT,RURAL,10 PERSONS AND ABOVE,4.21
HARIPUR DISTRICT,URBAN,1 PERSON,2.25
HARIPUR DISTRICT,URBAN,2 PERSONS,2.52
HARIPUR DISTRICT,URBAN,3 PERSONS,2.68
HARIPUR DISTRICT,URBAN,4 PERSONS,2.81
HARIPUR DISTRICT,URBAN,5 PERSONS,2.96
HARIPUR DISTRICT,URBAN,6 PERSONS,3.15
HARIPUR DISTRICT,URBAN,7 PERSONS,3.37
HARIPUR DISTRICT,URBAN,8 PERSONS,3.45
HARIPUR DISTRICT,URBAN,9 PERSONS,3.8
HARIPUR DISTRICT,URBAN,10 PERSONS AND ABOVE,4.69
HARNAI DISTRICT,RURAL,1 PERSON,1.41
HARNAI DISTRICT,RURAL,2 PERSONS,1.58
HARNAI DISTRICT,RURAL,3 PERSONS,1.73
HARNAI DISTRICT,RURAL,4 PERSONS,1.83
HARNAI DISTRICT,RURAL,5 PERSONS,2.02
HARNAI DISTRICT,RURAL,6 PERSONS,2.13
HARNAI DISTRICT,RURAL,7 PERSONS,2.29
HARNAI DISTRICT,RURAL,8 PERSONS,2.43
HARNAI DISTRICT,RURAL,9 PERSONS,2.61
HARNAI DISTRICT,RURAL,10 PERSONS AND ABOVE,3.09
HARNAI DISTRICT,URBAN,1 PERSON,1.94
HARNAI DISTRICT,URBAN,2 PERSONS,2.35
HARNAI DISTRICT,URBAN,3 PERSONS,2.61
HARNAI DISTRICT,URBAN,4 PERSONS,2.97
HARNAI DISTRICT,URBAN,5 PERSONS,2.85
HARNAI DISTRICT,URBAN,6 PERSONS,3.17
HARNAI DISTRICT,URBAN,7 PERSONS,3.32
HARNAI DISTRICT,URBAN,8 PERSONS,3.22
HARNAI DISTRICT,URBAN,9 PERSONS,3.42
HARNAI DISTRICT,URBAN,10 PERSONS AND ABOVE,3.94
HYDERABAD DISTRICT,RURAL,1 PERSON,1.16
HYDERABAD DISTRICT,RURAL,2 PERSONS,1.19
HYDERABAD DISTRICT,RURAL,3 PERSONS,1.22
HYDERABAD DISTRICT,RURAL,4 PERSONS,1.27
HYDERABAD DISTRICT,RURAL,5 PERSONS,1.31
HYDERABAD DISTRICT,RURAL,6 PERSONS,1.37
HYDERABAD DISTRICT,RURAL,7 PERSONS,1.39
HYDERABAD DISTRICT,RURAL,8 PERSONS,1.49
HYDERABAD DISTRICT,RURAL,9 PERSONS,1.56
HYDERABAD DISTRICT,RURAL,10 PERSONS AND ABOVE,1.97
HYDERABAD DISTRICT,URBAN,1 PERSON,1.82
HYDERABAD DISTRICT,URBAN,2 PERSONS,1.86
HYDERABAD DISTRICT,URBAN,3 PERSONS,1.9
HYDERABAD DISTRICT,URBAN,4 PERSONS,2.01
HYDERABAD DISTRICT,URBAN,5 PERSONS,2.12
HYDERABAD DISTRICT,URBAN,6 PERSONS,2.19
HYDERABAD DISTRICT,URBAN,7 PERSONS,2.23
HYDERABAD DISTRICT,URBAN,8 PERSONS,2.3
HYDERABAD DISTRICT,URBAN,9 PERSONS,2.4
HYDERABAD DISTRICT,URBAN,10 PERSONS AND ABOVE,2.96
JACOBABAD DISTRICT,RURAL,1 PERSON,1.2
JACOBABAD DISTRICT,RURAL,2 PERSONS,1.18
JACOBABAD DISTRICT,RURAL,3 PERSONS,1.21
JACOBABAD DISTRICT,RURAL,4 PERSONS,1.22
JACOBABAD DISTRICT,RURAL,5 PERSONS,1.26
JACOBABAD DISTRICT,RURAL,6 PERSONS,1.27
JACOBABAD DISTRICT,RURAL,7 PERSONS,1.32
JACOBABAD DISTRICT,RURAL,8 PERSONS,1.35
JACOBABAD DISTRICT,RURAL,9 PERSONS,1.42
JACOBABAD DISTRICT,RURAL,10 PERSONS AND ABOVE,1.64
JACOBABAD DISTRICT,URBAN,1 PERSON,1.5
JACOBABAD DISTRICT,URBAN,2 PERSONS,1.49
JACOBABAD DISTRICT,URBAN,3 PERSONS,1.59
JACOBABAD DISTRICT,URBAN,4 PERSONS,1.67
JACOBABAD DISTRICT,URBAN,5 PERSONS,1.74
JACOBABAD DISTRICT,URBAN,6 PERSONS,1.8
JACOBABAD DISTRICT,URBAN,7 PERSONS,1.84
JACOBABAD DISTRICT,URBAN,8 PERSONS,1.94
JACOBABAD DISTRICT,URBAN,9 PERSONS,2
JACOBABAD DISTRICT,URBAN,10 PERSONS AND ABOVE,2.43
JAFFARABAD DISTRICT,RURAL,1 PERSON,1.15
JAFFARABAD DISTRICT,RURAL,2 PERSONS,1.17
JAFFARABAD DISTRICT,RURAL,3 PERSONS,1.23
JAFFARABAD DISTRICT,RURAL,4 PERSONS,1.27
JAFFARABAD DISTRICT,RURAL,5 PERSONS,1.3
JAFFARABAD DISTRICT,RURAL,6 PERSONS,1.38
JAFFARABAD DISTRICT,RURAL,7 PERSONS,1.42
JAFFARABAD DISTRICT,RURAL,8 PERSONS,1.5
JAFFARABAD DISTRICT,RURAL,9 PERSONS,1.59
JAFFARABAD DISTRICT,RURAL,10 PERSONS AND ABOVE,1.98
JAFFARABAD DISTRICT,URBAN,1 PERSON,1.51
JAFFARABAD DISTRICT,URBAN,2 PERSONS,1.44
JAFFARABAD DISTRICT,URBAN,3 PERSONS,1.55
JAFFARABAD DISTRICT,URBAN,4 PERSONS,1.64
JAFFARABAD DISTRICT,URBAN,5 PERSONS,1.77
JAFFARABAD DISTRICT,URBAN,6 PERSONS,1.83
JAFFARABAD DISTRICT,URBAN,7 PERSONS,1.89
JAFFARABAD DISTRICT,URBAN,8 PERSONS,2
JAFFARABAD DISTRICT,URBAN,9 PERSONS,2.15
JAFFARABAD DISTRICT,URBAN,10 PERSONS AND ABOVE,2.62
JAMSHORO DISTRICT,RURAL,1 PERSON,1.24
JAMSHORO DISTRICT,RURAL,2 PERSONS,1.2
JAMSHORO DISTRICT,RURAL,3 PERSONS,1.24
JAMSHORO DISTRICT,RURAL,4 PERSONS,1.29
JAMSHORO DISTRICT,RURAL,5 PERSONS,1.34
JAMSHORO DISTRICT,RURAL,6 PERSONS,1.39
JAMSHORO DISTRICT,RURAL,7 PERSONS,1.43
JAMSHORO DISTRICT,RURAL,8 PERSONS,1.48
JAMSHORO DISTRICT,RURAL,9 PERSONS,1.54
JAMSHORO DISTRICT,RURAL,10 PERSONS AND ABOVE,1.88
JAMSHORO DISTRICT,URBAN,1 PERSON,1.56
JAMSHORO DISTRICT,URBAN,2 PERSONS,1.53
JAMSHORO DISTRICT,URBAN,3 PERSONS,1.62
JAMSHORO DISTRICT,URBAN,4 PERSONS,1.72
JAMSHORO DISTRICT,URBAN,5 PERSONS,1.82
JAMSHORO DISTRICT,URBAN,6 PERSONS,1.91
JAMSHORO DISTRICT,URBAN,7 PERSONS,2
JAMSHORO DISTRICT,URBAN,8 PERSONS,2.11
JAMSHORO DISTRICT,URBAN,9 PERSONS,2.23
JAMSHORO DISTRICT,URBAN,10 PERSONS AND ABOVE,2.75
JHAL MAGSI DISTRICT,RURAL,1 PERSON,1.21
JHAL MAGSI DISTRICT,RURAL,2 PERSONS,1.22
JHAL MAGSI DISTRICT,RURAL,3 PERSONS,1.29
JHAL MAGSI DISTRICT,RURAL,4 PERSONS,1.4
JHAL MAGSI DISTRICT,RURAL,5 PERSONS,1.51
JHAL MAGSI DISTRICT,RURAL,6 PERSONS,1.6
JHAL MAGSI DISTRICT,RURAL,7 PERSONS,1.67
JHAL MAGSI DISTRICT,RURAL,8 PERSONS,1.78
JHAL MAGSI DISTRICT,RURAL,9 PERSONS,1.94
JHAL MAGSI DISTRICT,RURAL,10 PERSONS AND ABOVE,2.25
JHAL MAGSI DISTRICT,URBAN,1 PERSON,1.57
JHAL MAGSI DISTRICT,URBAN,2 PERSONS,1.67
JHAL MAGSI DISTRICT,URBAN,3 PERSONS,1.86
JHAL MAGSI DISTRICT,URBAN,4 PERSONS,1.89
JHAL MAGSI DISTRICT,URBAN,5 PERSONS,1.98
JHAL MAGSI DISTRICT,URBAN,6 PERSONS,2.03
JHAL MAGSI DISTRICT,URBAN,7 PERSONS,2.19
JHAL MAGSI DISTRICT,URBAN,8 PERSONS,2.28
JHAL MAGSI DISTRICT,URBAN,9 PERSONS,2.47
JHAL MAGSI DISTRICT,URBAN,10 PERSONS AND ABOVE,2.89
JHANG DISTRICT,RURAL,1 PERSON,1.73
JHANG DISTRICT,RURAL,2 PERSONS,1.77
JHANG DISTRICT,RURAL,3 PERSONS,1.93
JHANG DISTRICT,RURAL,4 PERSONS,2.07
JHANG DISTRICT,RURAL,5 PERSONS,2.21
JHANG DISTRICT,RURAL,6 PERSONS,2.35
JHANG DISTRICT,RURAL,7 PERSONS,2.52
JHANG DISTRICT,RURAL,8 PERSONS,2.68
JHANG DISTRICT,RURAL,9 PERSONS,2.91
JHANG DISTRICT,RURAL,10 PERSONS AND ABOVE,3.75
JHANG DISTRICT,URBAN,1 PERSON,2.17
JHANG DISTRICT,URBAN,2 PERSONS,2.18
JHANG DISTRICT,URBAN,3 PERSONS,2.28
JHANG DISTRICT,URBAN,4 PERSONS,2.37
JHANG DISTRICT,URBAN,5 PERSONS,2.53
JHANG DISTRICT,URBAN,6 PERSONS,2.62
JHANG DISTRICT,URBAN,7 PERSONS,2.7
JHANG DISTRICT,URBAN,8 PERSONS,2.88
JHANG DISTRICT,URBAN,9 PERSONS,3.07
JHANG DISTRICT,URBAN,10 PERSONS AND ABOVE,3.81
JHELUM DISTRICT,RURAL,1 PERSON,2.66
JHELUM DISTRICT,RURAL,2 PERSONS,2.7
JHELUM DISTRICT,RURAL,3 PERSONS,2.81
JHELUM DISTRICT,RURAL,4 PERSONS,2.9
JHELUM DISTRICT,RURAL,5 PERSONS,3.01
JHELUM DISTRICT,RURAL,6 PERSONS,3.13
JHELUM DISTRICT,RURAL,7 PERSONS,3.29
JHELUM DISTRICT,RURAL,8 PERSONS,3.48
JHELUM DISTRICT,RURAL,9 PERSONS,3.71
JHELUM DISTRICT,RURAL,10 PERSONS AND ABOVE,4.4
JHELUM DISTRICT,URBAN,1 PERSON,2.58
JHELUM DISTRICT,URBAN,2 PERSONS,2.85
JHELUM DISTRICT,URBAN,3 PERSONS,2.93
JHELUM DISTRICT,URBAN,4 PERSONS,3
JHELUM DISTRICT,URBAN,5 PERSONS,3.08
JHELUM DISTRICT,URBAN,6 PERSONS,3.19
JHELUM DISTRICT,URBAN,7 PERSONS,3.4
JHELUM DISTRICT,URBAN,8 PERSONS,3.64
JHELUM DISTRICT,URBAN,9 PERSONS,3.88
JHELUM DISTRICT,URBAN,10 PERSONS AND ABOVE,4.47
KACHHI DISTRICT,RURAL,1 PERSON,1.43
KACHHI DISTRICT,RURAL,2 PERSONS,1.49
KACHHI DISTRICT,RURAL,3 PERSONS,1.66
KACHHI DISTRICT,RURAL,4 PERSONS,1.77
KACHHI DISTRICT,RURAL,5 PERSONS,1.91
KACHHI DISTRICT,RURAL,6 PERSONS,2.05
KACHHI DISTRICT,RURAL,7 PERSONS,2.21
KACHHI DISTRICT,RURAL,8 PERSONS,2.38
KACHHI DISTRICT,RURAL,9 PERSONS,2.57
KACHHI DISTRICT,RURAL,10 PERSONS AND ABOVE,3.35
KACHHI DISTRICT,URBAN,1 PERSON,1.77
KACHHI DISTRICT,URBAN,2 PERSONS,1.69
KACHHI DISTRICT,URBAN,3 PERSONS,1.87
KACHHI DISTRICT,URBAN,4 PERSONS,2.07
KACHHI DISTRICT,URBAN,5 PERSONS,2.3
KACHHI DISTRICT,URBAN,6 PERSONS,2.37
KACHHI DISTRICT,URBAN,7 PERSONS,2.48
KACHHI DISTRICT,URBAN,8 PERSONS,2.6
KACHHI DISTRICT,URBAN,9 PERSONS,2.67
KACHHI DISTRICT,URBAN,10 PERSONS AND ABOVE,3.41
KALAT DISTRICT,RURAL,1 PERSON,1.87
KALAT DISTRICT,RURAL,2 PERSONS,2.15
KALAT DISTRICT,RURAL,3 PERSONS,2.4
KALAT DISTRICT,RURAL,4 PERSONS,2.52
KALAT DISTRICT,RURAL,5 PERSONS,2.7
KALAT DISTRICT,RURAL,6 PERSONS,2.89
KALAT DISTRICT,RURAL,7 PERSONS,3.01
KALAT DISTRICT,RURAL,8 PERSONS,3.29
KALAT DISTRICT,RURAL,9 PERSONS,3.47
KALAT DISTRICT,RURAL,10 PERSONS AND ABOVE,4.21
KALAT DISTRICT,URBAN,1 PERSON,3.57
KALAT DISTRICT,URBAN,2 PERSONS,3.35
KALAT DISTRICT,URBAN,3 PERSONS,3.79
KALAT DISTRICT,URBAN,4 PERSONS,3.88
KALAT DISTRICT,URBAN,5 PERSONS,3.86
KALAT DISTRICT,URBAN,6 PERSONS,4.09
KALAT DISTRICT,URBAN,7 PERSONS,4.14
KALAT DISTRICT,URBAN,8 PERSONS,4.25
KALAT DISTRICT,URBAN,9 PERSONS,4.52
KALAT DISTRICT,URBAN,10 PERSONS AND ABOVE,5.08
KAMBAR SHAHDAD KOT DISTRICT,RURAL,1 PERSON,1.24
KAMBAR SHAHDAD KOT DISTRICT,RURAL,2 PERSONS,1.19
KAMBAR SHAHDAD KOT DISTRICT,RURAL,3 PERSONS,1.23
KAMBAR SHAHDAD KOT DISTRICT,RURAL,4 PERSONS,1.28
KAMBAR SHAHDAD KOT DISTRICT,RURAL,5 PERSONS,1.31
KAMBAR SHAHDAD KOT DISTRICT,RURAL,6 PERSONS,1.37
KAMBAR SHAHDAD KOT DISTRICT,RURAL,7 PERSONS,1.42
KAMBAR SHAHDAD KOT DISTRICT,RURAL,8 PERSONS,1.5
KAMBAR SHAHDAD KOT DISTRICT,RURAL,9 PERSONS,1.57
KAMBAR SHAHDAD KOT DISTRICT,RURAL,10 PERSONS AND ABOVE,1.88
KAMBAR SHAHDAD KOT DISTRICT,URBAN,1 PERSON,1.42
KAMBAR SHAHDAD KOT DISTRICT,URBAN,2 PERSONS,1.52
KAMBAR SHAHDAD KOT DISTRICT,URBAN,3 PERSONS,1.59
KAMBAR SHAHDAD KOT DISTRICT,URBAN,4 PERSONS,1.65
KAMBAR SHAHDAD KOT DISTRICT,URBAN,5 PERSONS,1.74
KAMBAR SHAHDAD KOT DISTRICT,URBAN,6 PERSONS,1.82
